week,posteam,noruns,nopass,noplays,touchdown,yards_gained,touchdown_rush,yards_rushing,epa
4,ARI,23,0,23,0,129,0,129,3.16130362228432
4,ATL,25,0,25,2,78,2,78,1.11073173565092
4,BAL,32,0,32,2,144,2,144,0.505583819409367
4,BUF,24,0,24,2,63,2,63,-5.06458858889528
4,CAR,35,0,35,2,168,2,168,5.45043584768428
4,CHI,16,0,16,0,28,0,28,-5.3745615609223
4,CIN,34,0,34,2,205,2,205,7.40890364122404
4,CLE,40,0,40,3,307,3,307,16.8858583858237
4,DAL,18,0,18,1,85,1,85,-1.05788990255678
4,DEN,32,0,32,2,117,2,117,-3.2910408891039
4,DET,22,0,22,1,90,1,90,1.51774987345561
4,GNB,26,0,26,0,88,0,88,-8.94180322944885
4,HOU,26,0,26,0,96,0,96,-5.86990560157574
4,IND,38,0,38,0,103,0,103,-7.87137409768592
4,JAC,20,0,20,0,89,0,89,-1.11140072739792
4,KAN,25,0,25,0,94,0,94,0.928941188829217
4,LAC,23,0,23,0,46,0,46,-7.7825595032773
4,LAR,23,0,23,1,58,1,58,0.379768269194756
4,LVR,23,0,23,0,86,0,86,-7.40850330104266
4,MIA,22,0,23,1,103,1,103,0.919996336522501
4,MIN,40,0,40,3,162,3,162,6.18507030693581
4,NOR,42,0,42,3,164,3,164,6.71970172651345
4,NWE,35,0,35,0,185,0,185,3.32953666793765
4,NYG,25,0,25,0,136,0,136,0.902225967671257
4,NYJ,24,0,24,1,129,1,129,1.5430151874898
4,PHI,28,0,28,1,93,1,93,-2.39145211072173
4,SEA,26,0,26,2,98,2,98,1.5747096465202
4,SFO,20,0,20,2,116,2,116,3.45712117259973
4,TAM,27,0,27,0,115,0,115,-1.66912247339496
4,WAS,22,0,22,2,69,2,69,2.45689901182777
5,ARI,30,0,30,3,127,3,127,1.52926070886315
5,ATL,24,0,24,1,166,1,166,7.16309410362737
5,BAL,24,0,24,0,161,0,161,0.842847147781868
5,BUF,22,0,22,0,95,0,95,2.55653564172098
5,CAR,27,0,27,0,124,0,124,-1.62098286294497
5,CHI,14,0,14,1,35,1,35,-4.33090974288643
5,CIN,28,0,28,0,70,0,70,-8.61070384004927
5,CLE,33,0,33,0,124,0,124,-1.36791058639203
5,DAL,29,0,29,2,126,2,126,-1.92008419978083
5,HOU,22,0,22,0,129,0,129,0.396783029776998
5,IND,18,0,18,1,68,1,68,4.58950913907029
5,JAC,20,0,20,0,75,0,75,0.0708810525829904
5,KAN,20,0,20,2,80,2,80,-0.42841538254288
5,LAC,32,0,32,0,111,0,111,-5.4808779382729
5,LAR,35,0,35,2,129,2,129,-5.72960226173746
5,LVR,35,0,35,2,144,2,144,1.98853840149241
5,MIA,33,0,33,1,94,1,94,-6.83320261892089
5,MIN,41,0,41,1,201,1,201,-2.92719634488458
5,NOR,25,0,25,2,95,2,95,-2.27116203948116
5,NYG,27,0,27,2,89,2,89,1.08126679097768
5,NYJ,28,0,28,0,123,0,123,-4.00000909413211
5,PHI,16,0,16,2,94,2,94,1.88480271291337
5,PIT,32,0,32,2,136,2,136,0.876917586982017
5,SEA,16,0,16,1,124,1,124,2.74585700934404
5,SFO,19,0,19,1,131,1,131,2.60290887206793
5,TAM,20,0,20,0,106,0,106,1.79247847670922
5,TEN,34,0,34,3,139,3,139,3.91828499370604
5,WAS,14,0,14,1,38,1,38,0.401645298232324
6,ARI,35,0,35,3,261,3,261,17.7098728677665
6,ATL,37,0,37,0,99,0,99,-17.8762491517447
6,BAL,37,0,37,2,182,2,182,0.183699118439108
6,BUF,23,0,23,0,84,0,84,1.74196707812371
6,CAR,29,0,29,1,112,1,112,-8.35510845696269
6,CHI,25,0,25,1,63,1,63,-3.41585305240005
6,CIN,32,0,32,3,98,3,98,0.163155196376684
6,CLE,22,0,22,0,75,0,75,-10.1676521492773
6,DAL,27,0,27,0,97,0,97,-6.09081877916469
6,DEN,37,0,37,0,135,0,135,-3.0931263804987
6,DET,39,0,39,3,180,3,180,4.1638747335528
6,GNB,21,0,21,1,94,1,94,-0.897626275371295
6,HOU,27,0,27,1,92,1,92,-1.36198789108312
6,IND,15,0,15,1,59,1,59,-0.593081865546992
6,JAC,16,0,16,1,44,1,44,-1.1246205169009
6,KAN,46,0,46,1,245,1,245,6.82051908635905
6,LAR,19,0,19,0,113,0,113,4.41117755929008
6,MIA,25,0,25,0,110,0,110,0.333840061502997
6,MIN,13,0,13,0,32,0,32,-7.03321473579854
6,NWE,25,0,25,1,117,1,117,1.08710928420496
6,NYG,26,0,26,0,132,0,132,-2.80633148058953
6,NYJ,22,0,22,0,115,0,115,-4.35634004650638
6,PHI,18,0,18,2,194,1,194,0.591429747699294
6,PIT,37,0,37,3,129,3,129,4.61696061256225
6,SFO,37,0,37,0,122,0,122,-5.0389919967495
6,TAM,35,0,35,2,158,2,158,-2.71254277290427
6,TEN,27,0,27,2,263,2,263,11.8564151929367
6,WAS,24,0,24,0,86,0,86,0.389198443444911
7,ARI,33,0,33,1,159,1,159,-1.76305735698105
7,ATL,26,0,26,2,66,2,66,-5.13363390357699
7,BUF,27,0,27,0,126,0,126,-0.958753804139097
7,CAR,14,0,14,1,37,1,37,-1.28366811185693
7,CHI,17,0,17,0,49,0,49,-5.56656415661564
7,CIN,21,0,21,1,81,1,81,0.339699356147321
7,CLE,22,0,22,0,82,0,82,-1.48252609721385
7,DAL,26,0,26,0,83,0,83,-3.91109985644944
7,DEN,33,0,33,2,177,2,177,-0.684839677705895
7,DET,21,0,21,1,64,1,64,-5.89572052110504
7,GNB,27,0,27,1,96,1,96,-0.678516210551607
7,HOU,22,0,22,0,79,0,79,-6.2458241590648
7,JAC,27,0,27,1,140,1,140,-5.29541065538069
7,KAN,22,0,22,2,101,2,101,3.27284256074927
7,LAC,32,0,32,2,135,2,135,-3.03069472248899
7,LAR,34,0,34,2,160,1,160,-12.2405417156221
7,LVR,24,0,24,0,76,0,76,-0.658029052661732
7,NOR,29,0,29,1,138,1,138,-0.277096435136627
7,NWE,22,0,22,0,94,0,94,-0.978838106607733
7,NYG,22,0,22,1,160,1,160,0.574443949735723
7,NYJ,22,0,22,1,100,1,100,-0.831205692549702
7,PHI,26,0,26,1,96,1,96,-4.80707111512311
7,PIT,25,0,25,1,94,1,94,2.78619134947076
7,SEA,30,0,30,1,200,1,200,9.16459178982768
7,SFO,37,0,37,4,197,4,197,8.98108972906674
7,TAM,25,0,25,2,85,2,85,-2.88966551431804
7,TEN,23,0,23,1,82,1,82,-2.69664555683266
7,WAS,39,0,39,1,208,1,208,-0.0639219667206898
8,ATL,36,0,36,2,131,2,131,3.5641729429782
8,BAL,47,0,47,1,265,1,265,3.33673901692964
8,BUF,38,0,38,3,190,3,190,10.2247850410058
8,CAR,22,0,22,1,147,1,147,1.35493338416563
8,CHI,23,0,23,0,96,0,96,-3.6403548020462
8,CIN,32,0,32,2,118,2,118,0.205880392226391
8,CLE,22,0,22,0,101,0,101,4.54457701591309
8,DAL,35,0,35,0,133,0,133,-1.94641913694795
8,DEN,16,0,16,1,108,1,108,1.25825753505342
8,DET,13,0,13,0,29,0,29,-5.65466779679991
8,GNB,24,0,24,0,109,0,109,1.25493716553319
8,IND,39,0,39,2,119,2,119,-5.48469212453347
8,KAN,20,0,20,0,50,0,50,-10.1451204688638
8,LAC,38,0,38,0,210,0,210,-1.45771815330954
8,LAR,29,0,29,1,131,1,131,2.251535754418
8,LVR,45,0,45,0,209,0,209,8.76975956984097
8,MIA,25,0,25,1,55,1,55,-13.0221870433015
8,MIN,34,0,34,3,173,3,173,6.86520249274327
8,NOR,30,0,30,0,122,0,122,-3.60968328843592
8,NWE,34,0,34,2,188,2,188,2.76905084594736
8,NYG,24,0,24,1,101,1,101,0.255989925994072
8,NYJ,25,0,25,0,93,0,93,-4.23804910591571
8,PHI,26,0,26,0,119,0,119,-2.40286900877254
8,PIT,16,0,16,1,48,1,48,-1.04821324744262
8,SEA,28,0,28,1,101,1,101,-0.377843477472197
8,SFO,22,0,22,2,52,2,52,1.30382881476544
8,TAM,24,0,24,0,81,0,81,-5.03622068795665
8,TEN,29,0,29,1,218,1,218,15.113390685292
9,ARI,37,0,37,1,178,1,178,0.0434473014320247
9,ATL,32,0,32,1,92,1,92,-9.52670499501983
9,BAL,38,0,38,2,110,2,110,-7.44880197799325
9,BUF,19,0,19,2,34,2,34,-2.49583758831895
9,CAR,24,0,24,2,104,2,104,5.81450466981128
9,CHI,20,0,20,0,56,0,56,-6.1856010495103
9,DAL,31,0,31,0,144,0,144,0.0213483493203652
9,DEN,22,0,22,1,103,1,103,-3.71686560387025
9,DET,27,0,27,0,129,0,129,-0.921651475129298
9,GNB,31,0,31,0,111,0,111,-2.07508729446352
9,HOU,28,0,28,1,107,1,107,-2.65276419511065
9,IND,21,0,21,2,112,1,112,-9.3446880952979
9,JAC,27,0,27,2,115,2,115,-1.695750478626
9,KAN,11,0,11,0,36,0,36,1.03193867078517
9,LAC,31,0,31,1,128,1,128,-0.336362885680454
9,LVR,26,0,26,2,160,2,160,7.73033337912057
9,MIA,25,0,25,1,91,1,91,-2.42930072546005
9,MIN,34,0,34,2,275,2,275,8.88636215549195
9,NOR,37,0,37,1,138,1,138,-0.190074049518444
9,NWE,41,0,41,3,159,3,159,2.74383194682055
9,NYG,35,0,35,1,166,1,166,-2.60121848451672
9,NYJ,18,0,18,0,65,0,65,-0.900607965362724
9,PIT,18,0,18,0,46,0,46,-8.16901485278504
9,SEA,17,0,17,2,57,2,57,-0.750161068164744
9,SFO,17,0,17,1,55,1,55,-0.913850273005664
9,TAM,5,0,5,0,8,0,8,-1.24580795364454
9,TEN,31,0,31,0,92,0,92,-5.3510337555781
9,WAS,9,0,9,1,37,1,37,-0.946299867006019
10,ARI,35,0,35,2,217,2,217,1.92450989133795
10,BAL,28,0,28,0,115,0,115,-1.24510198255302
10,BUF,18,0,18,0,73,0,73,-2.37856033546902
10,CAR,16,0,16,1,65,1,65,0.11181643710006
10,CHI,17,0,17,0,41,0,41,-5.65491476486204
10,CIN,21,0,21,0,139,0,139,2.82467372732935
10,CLE,41,0,41,1,231,1,231,0.471271552436519
10,DEN,19,0,19,0,66,0,66,-2.99692716248683
10,DET,21,0,21,0,105,0,105,-0.730871446896344
10,GNB,25,0,25,1,80,1,80,-4.3858038643084
10,HOU,22,0,22,0,90,0,90,0.0133114359341562
10,IND,29,0,29,2,133,2,133,-1.01719739387045
10,JAC,23,0,23,0,109,0,109,0.251871739514172
10,LAC,29,0,29,1,99,1,99,3.06197209609672
10,LAR,29,0,29,3,106,3,106,-0.999364983697888
10,LVR,41,0,41,4,203,4,203,3.34126813017065
10,MIA,32,0,32,1,111,1,111,-11.5463757403198
10,MIN,33,0,33,0,99,0,99,-8.18515366257634
10,NOR,30,0,30,2,114,2,114,-2.95312273112359
10,NWE,39,0,40,1,173,1,173,2.02839782822412
10,NYG,36,0,36,3,151,3,151,3.51771293506446
10,PHI,23,0,23,2,156,2,156,8.42823590850458
10,PIT,20,0,20,0,44,0,44,-7.23063251830172
10,SEA,22,0,22,1,113,1,113,-4.69268540362828
10,SFO,25,0,25,0,49,0,49,-11.8827815377153
10,TAM,37,0,37,2,210,2,210,3.96875707448968
10,TEN,32,0,32,1,157,1,157,0.534004975896096
