week,posteam,noruns,nopass,noplays,touchdown,yards_gained,touchdown_rush,yards_rushing,epa
17,BAL,54,0,54,2,404,2,404,17.9792481825926
17,BUF,25,0,25,2,78,2,78,-2.9499226405751
17,CAR,20,0,20,1,74,1,74,0.231454399006907
17,CHI,31,0,31,1,108,1,108,-0.74853893323017
17,CIN,19,0,19,0,147,0,147,0.932123630540445
17,CLE,31,0,31,2,192,2,192,3.25931354431668
17,DAL,27,0,27,1,108,1,108,1.63169313892006
17,DEN,32,0,32,1,122,1,122,-5.19433722586837
17,DET,22,0,22,2,129,2,129,7.40607664475101
17,GNB,19,0,19,1,79,1,79,0.434363691543695
17,HOU,17,0,17,1,96,1,96,2.8414246676839
17,IND,37,0,37,2,273,2,273,4.86071351367605
17,JAC,17,0,17,0,53,0,53,-4.25712629361078
17,KAN,17,0,17,1,51,1,51,-4.61901520896936
17,LAC,35,0,35,2,135,2,135,-3.37319074670086
17,LAR,30,0,30,0,110,0,110,-6.27504217083032
17,LVR,23,0,23,2,106,2,106,0.858528462355025
17,MIA,20,0,20,2,70,2,70,2.48726012906991
17,MIN,31,0,31,2,125,2,125,0.705722986080218
17,NOR,30,0,30,1,156,1,156,5.13482334878063
17,NWE,29,0,29,0,166,0,166,3.04714882251574
17,NYG,28,0,28,1,125,1,125,-4.44900394411525
17,NYJ,25,0,25,1,111,1,111,2.60717654874316
17,PHI,29,0,29,2,118,2,118,-3.18824866588693
17,PIT,20,0,20,0,85,0,85,-1.10830964172739
17,SEA,27,0,27,1,121,1,121,2.46160150706419
17,SFO,24,0,24,1,86,1,86,-5.93869081127923
17,TAM,22,0,22,1,94,1,94,-0.718327198672341
17,TEN,41,0,41,4,288,4,288,10.9201204194592
17,WAS,27,0,27,0,103,0,103,-4.89635030872887
