Name,name1,Team,Oppt,week,Points_FD,Salary_FD,Points_DK,Salary_DK,Points_YH,Salary_YH,logo,gsis_id,position.x,depth_chart_position.x,status,headshot_url,headshot_url2,team_logo_wikipedia,logo_def,wiki_logo_def,receiver_player_name,nopass,noplays,yards_gained,yards_passing,interception,sack,qb_hits,incomplete_pass,complete_pass,yards_receiving,touchdown_pass,yards_after_catch,air_yards,air_yards2,epa_receiver,position.y,depth_chart_position.y,n,rusher_player_name,noruns,touchdown_rush,yards_rushing,epa_rusher
"Adams, Davante",Da.Adams,GNB,IND,11,20.1,9500,26.6,8600,20.1,38,<img src='https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Green_Bay_Packers_logo.svg/100px-Green_Bay_Packers_logo.svg.png' width='50'/>,00-0031381,WR,LWR,Active,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16800.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16800.png' height='20'></img>,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Green_Bay_Packers_logo.svg/100px-Green_Bay_Packers_logo.svg.png,<img src='https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Indianapolis_Colts_logo.svg/100px-Indianapolis_Colts_logo.svg.png' width='50'/>,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Indianapolis_Colts_logo.svg/100px-Indianapolis_Colts_logo.svg.png,D.Adams,9,9,106,106,0,0,0,2,7,106,1,33,86,73,5.16273426988149,WR,LWR,1,,,,,
"Adams, Davante",Da.Adams,GNB,MIN,1,34.6,8000,44.6,7300,34.6,32,<img src='https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Green_Bay_Packers_logo.svg/100px-Green_Bay_Packers_logo.svg.png' width='50'/>,00-0031381,WR,LWR,Active,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16800.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16800.png' height='20'></img>,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Green_Bay_Packers_logo.svg/100px-Green_Bay_Packers_logo.svg.png,<img src='https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Minnesota_Vikings_logo.svg/98px-Minnesota_Vikings_logo.svg.png' width='50'/>,https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Minnesota_Vikings_logo.svg/98px-Minnesota_Vikings_logo.svg.png,D.Adams,17,17,156,156,0,0,2,3,14,156,2,43,163,113,7.1580892499187,WR,LWR,1,,,,,
"Adams, Davante",Da.Adams,GNB,SFO,9,28.3,9400,36.3,8400,28.3,37,<img src='https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Green_Bay_Packers_logo.svg/100px-Green_Bay_Packers_logo.svg.png' width='50'/>,00-0031381,WR,LWR,Active,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16800.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16800.png' height='20'></img>,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Green_Bay_Packers_logo.svg/100px-Green_Bay_Packers_logo.svg.png,<img src='https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/San_Francisco_49ers_logo.svg/100px-San_Francisco_49ers_logo.svg.png' width='50'/>,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/San_Francisco_49ers_logo.svg/100px-San_Francisco_49ers_logo.svg.png,D.Adams,12,12,173,173,0,0,0,2,10,173,1,63,157,110,15.6127830123878,WR,LWR,1,,,,,
"Adams, Davante",Da.Adams,GNB,TAM,6,9.1,9000,12.1,8000,9.1,36,<img src='https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Green_Bay_Packers_logo.svg/100px-Green_Bay_Packers_logo.svg.png' width='50'/>,00-0031381,WR,LWR,Active,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16800.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16800.png' height='20'></img>,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Green_Bay_Packers_logo.svg/100px-Green_Bay_Packers_logo.svg.png,<img src='https://upload.wikimedia.org/wikipedia/en/thumb/a/a2/Tampa_Bay_Buccaneers_logo.svg/100px-Tampa_Bay_Buccaneers_logo.svg.png' width='50'/>,https://upload.wikimedia.org/wikipedia/en/thumb/a/a2/Tampa_Bay_Buccaneers_logo.svg/100px-Tampa_Bay_Buccaneers_logo.svg.png,D.Adams,10,10,61,61,2,0,0,2,6,61,0,22,77,39,-7.46204317148658,WR,LWR,1,,,,,
"Agholor, Nelson",Ne.Agholor,LVR,BUF,4,12.4,4700,14.4,3500,12.4,10,<img src='https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Las_Vegas_Raiders_logo.svg/100px-Las_Vegas_Raiders_logo.svg.png' width='50'/>,00-0031549,WR,RWR,Active,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2971618.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2971618.png' height='20'></img>,https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Las_Vegas_Raiders_logo.svg/100px-Las_Vegas_Raiders_logo.svg.png,<img src='https://upload.wikimedia.org/wikipedia/en/thumb/7/77/Buffalo_Bills_logo.svg/189px-Buffalo_Bills_logo.svg.png' width='50'/>,https://upload.wikimedia.org/wikipedia/en/thumb/7/77/Buffalo_Bills_logo.svg/189px-Buffalo_Bills_logo.svg.png,N.Agholor,4,4,44,44,0,0,0,0,4,44,1,2,42,42,8.05844754457939,WR,RWR,1,,,,,
"Agholor, Nelson",Ne.Agholor,LVR,DEN,10,1.3,5100,1.8,4900,1.3,16,<img src='https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Las_Vegas_Raiders_logo.svg/100px-Las_Vegas_Raiders_logo.svg.png' width='50'/>,00-0031549,WR,RWR,Active,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2971618.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2971618.png' height='20'></img>,https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Las_Vegas_Raiders_logo.svg/100px-Las_Vegas_Raiders_logo.svg.png,<img src='https://upload.wikimedia.org/wikipedia/en/thumb/4/44/Denver_Broncos_logo.svg/100px-Denver_Broncos_logo.svg.png' width='50'/>,https://upload.wikimedia.org/wikipedia/en/thumb/4/44/Denver_Broncos_logo.svg/100px-Denver_Broncos_logo.svg.png,N.Agholor,4,4,8,8,0,0,0,3,1,8,0,0,45,8,-1.15796066261828,WR,RWR,1,,,,,
"Agholor, Nelson",Ne.Agholor,LVR,IND,14,18.5,5200,24,4700,18.5,15,<img src='https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Las_Vegas_Raiders_logo.svg/100px-Las_Vegas_Raiders_logo.svg.png' width='50'/>,00-0031549,WR,RWR,Active,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2971618.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2971618.png' height='20'></img>,https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Las_Vegas_Raiders_logo.svg/100px-Las_Vegas_Raiders_logo.svg.png,<img src='https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Indianapolis_Colts_logo.svg/100px-Indianapolis_Colts_logo.svg.png' width='50'/>,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Indianapolis_Colts_logo.svg/100px-Indianapolis_Colts_logo.svg.png,N.Agholor,9,9,100,100,0,0,1,4,5,100,1,20,131,80,4.39806044571134,WR,RWR,1,,,,,
"Agholor, Nelson",Ne.Agholor,LVR,KAN,11,17.8,5300,20.8,4500,17.8,16,<img src='https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Las_Vegas_Raiders_logo.svg/100px-Las_Vegas_Raiders_logo.svg.png' width='50'/>,00-0031549,WR,RWR,Active,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2971618.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2971618.png' height='20'></img>,https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Las_Vegas_Raiders_logo.svg/100px-Las_Vegas_Raiders_logo.svg.png,<img src='https://upload.wikimedia.org/wikipedia/en/thumb/e/e1/Kansas_City_Chiefs_logo.svg/100px-Kansas_City_Chiefs_logo.svg.png' width='50'/>,https://upload.wikimedia.org/wikipedia/en/thumb/e/e1/Kansas_City_Chiefs_logo.svg/100px-Kansas_City_Chiefs_logo.svg.png,N.Agholor,9,9,88,88,1,0,0,2,6,88,1,29,141,59,4.01731974986615,WR,RWR,1,,,,,
"Agholor, Nelson",Ne.Agholor,LVR,LAC,15,6.9,5600,8.9,5000,6.9,16,<img src='https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Las_Vegas_Raiders_logo.svg/100px-Las_Vegas_Raiders_logo.svg.png' width='50'/>,00-0031549,WR,RWR,Active,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2971618.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2971618.png' height='20'></img>,https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Las_Vegas_Raiders_logo.svg/100px-Las_Vegas_Raiders_logo.svg.png,<img src='https://upload.wikimedia.org/wikipedia/en/thumb/7/72/NFL_Chargers_logo.svg/100px-NFL_Chargers_logo.svg.png' width='50'/>,https://upload.wikimedia.org/wikipedia/en/thumb/7/72/NFL_Chargers_logo.svg/100px-NFL_Chargers_logo.svg.png,N.Agholor,8,8,49,49,0,0,0,4,4,49,0,20,92,29,3.64137734618271,WR,RWR,1,,,,,
"Agholor, Nelson",Ne.Agholor,LVR,MIA,16,24,5900,29.5,4500,24,18,<img src='https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Las_Vegas_Raiders_logo.svg/100px-Las_Vegas_Raiders_logo.svg.png' width='50'/>,00-0031549,WR,RWR,Active,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2971618.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2971618.png' height='20'></img>,https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Las_Vegas_Raiders_logo.svg/100px-Las_Vegas_Raiders_logo.svg.png,<img src='https://upload.wikimedia.org/wikipedia/en/thumb/3/37/Miami_Dolphins_logo.svg/100px-Miami_Dolphins_logo.svg.png' width='50'/>,https://upload.wikimedia.org/wikipedia/en/thumb/3/37/Miami_Dolphins_logo.svg/100px-Miami_Dolphins_logo.svg.png,N.Agholor,6,6,155,155,0,0,1,1,5,155,1,60,118,95,9.50590439443476,WR,RWR,1,,,,,
