Name,name1,Team,Oppt,week,Points_FD,Salary_FD,Points_DK,Salary_DK,Points_YH,Salary_YH,logo,gsis_id,position,depth_chart_position,status,headshot_url,headshot_url2,team_logo_wikipedia,logo_def,nopass,noplays,touchdown,touchdown_pass,yards_gained,yards_passing,interception,sack,qb_hits,incomplete_pass,complete_pass,yards_receiving,yards_after_catch,air_yards,air_yards2,epa_qb,noruns,touchdown_rush,yards_rushing,epa
Arizona,.Arizona,ARI,LAR,17,10,3800,10,2800,10,19,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/7/72/Arizona_Cardinals_logo.svg/179px-Arizona_Cardinals_logo.svg.png' height='12'></img>,,DEF,DEF,,,,https://upload.wikimedia.org/wikipedia/en/thumb/7/72/Arizona_Cardinals_logo.svg/179px-Arizona_Cardinals_logo.svg.png,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/8/8a/Los_Angeles_Rams_logo.svg/100px-Los_Angeles_Rams_logo.svg.png' height='12'></img>,38,70,0,0,333,231,1,2,5,15,22,231,93,358,138,-9.62131525732646,30,0,110,-9.62131525732646
Arizona,.Arizona,ARI,NWE,12,8,4000,8,2900,8,16,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/7/72/Arizona_Cardinals_logo.svg/179px-Arizona_Cardinals_logo.svg.png' height='12'></img>,,DEF,DEF,,,,https://upload.wikimedia.org/wikipedia/en/thumb/7/72/Arizona_Cardinals_logo.svg/179px-Arizona_Cardinals_logo.svg.png,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/b/b9/New_England_Patriots_logo.svg/100px-New_England_Patriots_logo.svg.png' height='12'></img>,18,50,2,0,179,84,2,3,4,7,9,84,49,105,35,-11.0809231200862,30,2,110,-11.0809231200862
Arizona,.Arizona,ARI,NYG,14,18,4500,18,2700,18,16,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/7/72/Arizona_Cardinals_logo.svg/179px-Arizona_Cardinals_logo.svg.png' height='12'></img>,,DEF,DEF,,,,https://upload.wikimedia.org/wikipedia/en/thumb/7/72/Arizona_Cardinals_logo.svg/179px-Arizona_Cardinals_logo.svg.png,<img src = 'https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/New_York_Giants_logo.svg/100px-New_York_Giants_logo.svg.png' height='12'></img>,24,49,1,0,159,145,0,8,11,11,13,145,30,271,115,-18.217250880145,17,1,78,-18.217250880145
Arizona,.Arizona,ARI,NYJ,5,7,4200,7,4100,7,19,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/7/72/Arizona_Cardinals_logo.svg/179px-Arizona_Cardinals_logo.svg.png' height='12'></img>,,DEF,DEF,,,,https://upload.wikimedia.org/wikipedia/en/thumb/7/72/Arizona_Cardinals_logo.svg/179px-Arizona_Cardinals_logo.svg.png,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/6/6b/New_York_Jets_logo.svg/100px-New_York_Jets_logo.svg.png' height='12'></img>,33,64,1,1,285,195,0,3,6,15,18,195,95,322,100,-8.60954617960283,28,0,123,-8.60954617960283
Arizona,.Arizona,ARI,SEA,11,3,3700,3,2600,3,15,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/7/72/Arizona_Cardinals_logo.svg/179px-Arizona_Cardinals_logo.svg.png' height='12'></img>,,DEF,DEF,,,,https://upload.wikimedia.org/wikipedia/en/thumb/7/72/Arizona_Cardinals_logo.svg/179px-Arizona_Cardinals_logo.svg.png,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/8/8e/Seattle_Seahawks_logo.svg/100px-Seattle_Seahawks_logo.svg.png' height='12'></img>,28,62,3,2,347,197,0,3,8,5,23,197,101,188,96,12.5306076525639,31,1,165,12.5306076525639
Arizona,.Arizona,ARI,SFO,1,6,3300,6,2100,6,10,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/7/72/Arizona_Cardinals_logo.svg/179px-Arizona_Cardinals_logo.svg.png' height='12'></img>,,DEF,DEF,,,,https://upload.wikimedia.org/wikipedia/en/thumb/7/72/Arizona_Cardinals_logo.svg/179px-Arizona_Cardinals_logo.svg.png,<img src = 'https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/San_Francisco_49ers_logo.svg/100px-San_Francisco_49ers_logo.svg.png' height='12'></img>,33,61,2,2,366,259,0,3,6,14,19,259,161,220,98,-2.83265634431391,25,0,123,-2.83265634431391
Atlanta,.Atlanta,ATL,CAR,5,0,3300,0,3000,0,11,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/c/c5/Atlanta_Falcons_logo.svg/192px-Atlanta_Falcons_logo.svg.png' height='12'></img>,,DEF,DEF,,,,https://upload.wikimedia.org/wikipedia/en/thumb/c/c5/Atlanta_Falcons_logo.svg/192px-Atlanta_Falcons_logo.svg.png,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/1/1c/Carolina_Panthers_logo.svg/100px-Carolina_Panthers_logo.svg.png' height='12'></img>,36,63,2,2,437,313,0,0,4,9,27,313,178,218,135,15.1642438133685,27,0,124,15.1642438133685
Atlanta,.Atlanta,ATL,CHI,3,5,3200,5,2800,5,10,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/c/c5/Atlanta_Falcons_logo.svg/192px-Atlanta_Falcons_logo.svg.png' height='12'></img>,,DEF,DEF,,,,https://upload.wikimedia.org/wikipedia/en/thumb/c/c5/Atlanta_Falcons_logo.svg/192px-Atlanta_Falcons_logo.svg.png,<img src = 'https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Chicago_Bears_logo.svg/100px-Chicago_Bears_logo.svg.png' height='12'></img>,51,78,4,4,437,316,2,2,9,20,29,316,152,532,164,0.728651744259112,25,0,130,0.728651744259112
Atlanta,.Atlanta,ATL,DEN,9,3,3300,3,2500,3,14,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/c/c5/Atlanta_Falcons_logo.svg/192px-Atlanta_Falcons_logo.svg.png' height='12'></img>,,DEF,DEF,,,,https://upload.wikimedia.org/wikipedia/en/thumb/c/c5/Atlanta_Falcons_logo.svg/192px-Atlanta_Falcons_logo.svg.png,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/4/44/Denver_Broncos_logo.svg/100px-Denver_Broncos_logo.svg.png' height='12'></img>,48,71,3,2,405,313,1,1,10,22,25,313,127,440,186,-2.362669827205,22,1,103,-2.362669827205
Atlanta,.Atlanta,ATL,DET,7,2,3500,2,2400,2,10,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/c/c5/Atlanta_Falcons_logo.svg/192px-Atlanta_Falcons_logo.svg.png' height='12'></img>,,DEF,DEF,,,,https://upload.wikimedia.org/wikipedia/en/thumb/c/c5/Atlanta_Falcons_logo.svg/192px-Atlanta_Falcons_logo.svg.png,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/7/71/Detroit_Lions_logo.svg/100px-Detroit_Lions_logo.svg.png' height='12'></img>,36,55,2,1,386,340,0,2,6,11,25,340,80,337,260,6.51530496954037,21,1,64,6.51530496954037
