"game_id","vis_team","home_team","vis_score","home_score","OT","Roof","Surface","Temperature","Humidity","Wind_Speed","Vegas_Line","Vegas_Favorite","Over_Under","game_date.x","season","game_date.y","player_id","pos","player","team","pass_cmp","pass_att","pass_yds","pass_td","pass_int","pass_sacked","pass_sacked_yds","pass_long","pass_rating","rush_att","rush_yds","rush_td","rush_long","targets","rec","rec_yds","rec_td","rec_long","fumbles_lost","rush_scrambles","designed_rush_att","comb_pass_rush_play","comb_pass_play","comb_rush_play","Team_abbrev","Opponent_abbrev","two_point_conv","total_ret_td","offensive_fumble_recovery_td","pass_yds_bonus","rush_yds_bonus","rec_yds_bonus","Total_DKP","Off_DKP","Total_FDP","Off_FDP","pass_target_yds","pass_poor_throws","pass_blitzed","pass_hurried","rush_yds_before_contact","rush_yac","rush_broken_tackles","rec_air_yds","rec_yac","rec_drops","offense","off_pct","last_300_median_DKP","last_300_median_FDP","last_600_median_DKP","last_600_median_FDP"
"202009100kan","HOU","KAN",20,34,"False","outdoors","astroturf",56,95,7,-9.5,"KAN","53.5",2020-09-10,2020,"2020-09-10","HillTy00","WR","Tyreek Hill","KAN",0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,46,1,15,0,0,0,0,0,0,"KAN","HOU",0,0,0,0,0,0,15.6,15.6,13.1,13.1,0,0,0,0,0,0,0,49.2,21,0,59,86,12.2,9.7,14.1,11.1
"202009100kan","HOU","KAN",20,34,"False","outdoors","astroturf",56,95,7,-9.5,"KAN","53.5",2020-09-10,2020,"2020-09-10","WatkSa00","WR","Sammy Watkins","KAN",0,0,0,0,0,0,0,0,0,1,3,0,3,9,7,82,1,19,0,0,1,1,0,1,"KAN","HOU",0,0,0,0,0,0,21.5,21.5,18,18,0,0,0,0,1,2,0,59.4,34,0,55,80,6.8,5.3,10.2,7.45
"202009100kan","HOU","KAN",20,34,"False","outdoors","astroturf",56,95,7,-9.5,"KAN","53.5",2020-09-10,2020,"2020-09-10","EdwaCl00","RB","Clyde Edwards-Helaire ","KAN",0,0,0,0,0,0,0,0,0,25,138,1,27,2,0,0,0,0,0,0,25,25,0,25,"KAN","HOU",0,0,0,0,1,0,22.8,22.8,19.8,19.8,0,0,0,0,38,100,0,-7,0,0,46,67,NA,NA,NA,NA
"202009100kan","HOU","KAN",20,34,"False","outdoors","astroturf",56,95,7,-9.5,"KAN","53.5",2020-09-10,2020,"2020-09-10","RobiDe01","WR","Demarcus Robinson","KAN",0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,20,0,9,0,0,0,0,0,0,"KAN","HOU",0,0,0,0,0,0,5,5,3.5,3.5,0,0,0,0,0,0,0,42,19,1,33,48,NA,NA,6.8,5.05
"202009100kan","HOU","KAN",20,34,"False","outdoors","astroturf",56,95,7,-9.5,"KAN","53.5",2020-09-10,2020,"2020-09-10","WillDa10","RB","Darrel Williams","KAN",0,0,0,0,0,0,0,0,0,7,23,0,7,2,2,7,0,6,0,0,7,7,0,7,"KAN","HOU",0,0,0,0,0,0,5,5,4,4,0,0,0,0,10,13,0,-7,14,0,23,33,NA,NA,NA,NA
"202009100kan","HOU","KAN",20,34,"False","outdoors","astroturf",56,95,7,-9.5,"KAN","53.5",2020-09-10,2020,"2020-09-10","HardMe00","WR","Mecole Hardman","KAN",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,0,6,0,0,0,0,0,0,"KAN","HOU",0,0,0,0,0,0,1.6,1.6,1.1,1.1,0,0,0,0,0,0,0,-3,9,0,20,29,NA,NA,NA,NA
"202009100kan","HOU","KAN",20,34,"False","outdoors","astroturf",56,95,7,-9.5,"KAN","53.5",2020-09-10,2020,"2020-09-10","SherAn00","FB","Anthony Sherman","KAN",0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,1,1,0,1,"KAN","HOU",0,0,0,0,0,0,0.2,0.2,0.2,0.2,0,0,0,0,0,2,0,0,0,0,11,16,NA,NA,NA,NA
"202009100kan","HOU","KAN",20,34,"False","outdoors","astroturf",56,95,7,-9.5,"KAN","53.5",2020-09-10,2020,"2020-09-10","KeizNi00","TE","Nick Keizer","KAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,43,NA,NA,NA,NA
"202009100kan","HOU","KAN",20,34,"False","outdoors","astroturf",56,95,7,-9.5,"KAN","53.5",2020-09-10,2020,"2020-09-10","PrinBy00","WR","Byron Pringle","KAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,NA,NA,NA,NA
"202009130atl","SEA","ATL",38,25,"False","retractable roof (closed)","fieldturf",72,45,0,-1,"ATL","49.5",2020-09-13,2020,"2020-09-13","WilsRu00","QB","Russell Wilson ","SEA",31,35,322,4,0,3,23,38,143.1,3,29,0,28,0,0,0,0,0,0,1,2,41,39,2,"SEA","ATL",0,0,0,1,0,0,34.78,34.78,31.78,31.78,215,2,12,4,25,4,0,0,0,0,62,100,14.75,13.93,17.74,16.75
