Name,name1,Team,Oppt,week,Points_FD,Salary_FD,Points_DK,Salary_DK,Points_YH,Salary_YH,logo,gsis_id,position.x,depth_chart_position.x,status,headshot_url,headshot_url2,team_logo_wikipedia,logo_def,receiver_player_name,nopass,noplays,yards_gained,yards_passing,interception,sack,qb_hits,incomplete_pass,complete_pass,yards_receiving,touchdown_pass,yards_after_catch,air_yards,air_yards2,epa_receiver,position.y,depth_chart_position.y,n,rusher_player_name,noruns,touchdown_rush,yards_rushing,epa_rusher
"Akins, Jordan",Jo.Akins,HOU,JAC,9,2.9,4800,3.9,3300,2.9,13,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/2/28/Houston_Texans_logo.svg/100px-Houston_Texans_logo.svg.png' height='12'></img>,00-0034364,TE,TE,Active,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3128452.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3128452.png' height='20'></img>,https://upload.wikimedia.org/wikipedia/en/thumb/2/28/Houston_Texans_logo.svg/100px-Houston_Texans_logo.svg.png,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/7/74/Jacksonville_Jaguars_logo.svg/100px-Jacksonville_Jaguars_logo.svg.png' height='12'></img>,J.Akins,4,4,19,19,0,0,0,2,2,19,0,9,41,10,0.550460700294934,TE,TE,1,,,,,
"Akins, Jordan",Jo.Akins,HOU,KAN,1,10.9,4300,11.9,3100,10.9,10,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/2/28/Houston_Texans_logo.svg/100px-Houston_Texans_logo.svg.png' height='12'></img>,00-0034364,TE,TE,Active,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3128452.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3128452.png' height='20'></img>,https://upload.wikimedia.org/wikipedia/en/thumb/2/28/Houston_Texans_logo.svg/100px-Houston_Texans_logo.svg.png,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/e/e1/Kansas_City_Chiefs_logo.svg/100px-Kansas_City_Chiefs_logo.svg.png' height='12'></img>,J.Akins,2,2,39,39,0,0,0,0,2,39,1,15,24,24,4.33068583661225,TE,TE,1,,,,,
"Akins, Jordan",Jo.Akins,HOU,PIT,3,3.8,5000,4.8,3400,3.8,11,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/2/28/Houston_Texans_logo.svg/100px-Houston_Texans_logo.svg.png' height='12'></img>,00-0034364,TE,TE,Active,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3128452.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3128452.png' height='20'></img>,https://upload.wikimedia.org/wikipedia/en/thumb/2/28/Houston_Texans_logo.svg/100px-Houston_Texans_logo.svg.png,<img src = 'https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Pittsburgh_Steelers_logo.svg/100px-Pittsburgh_Steelers_logo.svg.png' height='12'></img>,J.Akins,3,3,28,28,0,0,0,1,2,28,0,15,18,13,-0.567043169401586,TE,TE,1,,,,,
"Alie-Cox, Mo",Mo.Alie-Cox,IND,BAL,9,5.8,5000,7.3,3000,5.8,12,<img src = 'https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Indianapolis_Colts_logo.svg/100px-Indianapolis_Colts_logo.svg.png' height='12'></img>,00-0033217,TE,RTE,Active,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2998565.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2998565.png' height='20'></img>,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Indianapolis_Colts_logo.svg/100px-Indianapolis_Colts_logo.svg.png,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/1/16/Baltimore_Ravens_logo.svg/193px-Baltimore_Ravens_logo.svg.png' height='12'></img>,M.Alie-Cox,3,3,43,43,0,0,0,0,3,43,0,10,33,33,2.7053751940839,TE,RTE,1,,,,,
"Alie-Cox, Mo",Mo.Alie-Cox,IND,GNB,11,0.6,4900,2.6,2900,0.6,10,<img src = 'https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Indianapolis_Colts_logo.svg/100px-Indianapolis_Colts_logo.svg.png' height='12'></img>,00-0033217,TE,RTE,Active,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2998565.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2998565.png' height='20'></img>,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Indianapolis_Colts_logo.svg/100px-Indianapolis_Colts_logo.svg.png,<img src = 'https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Green_Bay_Packers_logo.svg/100px-Green_Bay_Packers_logo.svg.png' height='12'></img>,M.Alie-Cox,3,3,16,16,0,0,1,1,2,16,0,10,10,6,-4.44142950815149,TE,RTE,1,,,,,
"Alie-Cox, Mo",Mo.Alie-Cox,IND,HOU,15,2.4,4500,3.4,2500,2.4,10,<img src = 'https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Indianapolis_Colts_logo.svg/100px-Indianapolis_Colts_logo.svg.png' height='12'></img>,00-0033217,TE,RTE,Active,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2998565.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2998565.png' height='20'></img>,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Indianapolis_Colts_logo.svg/100px-Indianapolis_Colts_logo.svg.png,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/2/28/Houston_Texans_logo.svg/100px-Houston_Texans_logo.svg.png' height='12'></img>,M.Alie-Cox,2,2,14,14,0,0,0,0,2,14,0,7,7,7,-0.423690559226088,TE,RTE,1,,,,,
"Alie-Cox, Mo",Mo.Alie-Cox,IND,MIN,2,13.6,4000,19.1,3000,13.6,10,<img src = 'https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Indianapolis_Colts_logo.svg/100px-Indianapolis_Colts_logo.svg.png' height='12'></img>,00-0033217,TE,RTE,Active,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2998565.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2998565.png' height='20'></img>,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Indianapolis_Colts_logo.svg/100px-Indianapolis_Colts_logo.svg.png,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Minnesota_Vikings_logo.svg/98px-Minnesota_Vikings_logo.svg.png' height='12'></img>,M.Alie-Cox,6,6,111,111,1,0,1,0,5,111,0,40,77,71,4.88157560265972,TE,RTE,1,,,,,
"Alie-Cox, Mo",Mo.Alie-Cox,IND,NYJ,3,12.5,5000,14,3800,12.5,12,<img src = 'https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Indianapolis_Colts_logo.svg/100px-Indianapolis_Colts_logo.svg.png' height='12'></img>,00-0033217,TE,RTE,Active,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2998565.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2998565.png' height='20'></img>,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Indianapolis_Colts_logo.svg/100px-Indianapolis_Colts_logo.svg.png,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/6/6b/New_York_Jets_logo.svg/100px-New_York_Jets_logo.svg.png' height='12'></img>,M.Alie-Cox,3,3,50,50,0,0,0,0,3,50,1,29,21,21,2.61608597071609,TE,RTE,1,,,,,
"Alie-Cox, Mo",Mo.Alie-Cox,IND,TEN,12,2.9,4800,3.9,2700,2.9,11,<img src = 'https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Indianapolis_Colts_logo.svg/100px-Indianapolis_Colts_logo.svg.png' height='12'></img>,00-0033217,TE,RTE,Active,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2998565.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2998565.png' height='20'></img>,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Indianapolis_Colts_logo.svg/100px-Indianapolis_Colts_logo.svg.png,<img src = 'https://raw.githubusercontent.com/guga31bb/nflfastR-data/master/titans.png' height='12'></img>,M.Alie-Cox,2,2,19,19,0,0,0,0,2,19,0,7,12,12,1.66571465611923,TE,RTE,1,,,,,
"Alie-Cox, Mo",Mo.Alie-Cox,IND,CHI,4,7.8,5300,8.3,3900,7.8,14,<img src = 'https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Indianapolis_Colts_logo.svg/100px-Indianapolis_Colts_logo.svg.png' height='12'></img>,00-0033217,TE,RTE,Active,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2998565.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2998565.png' height='20'></img>,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Indianapolis_Colts_logo.svg/100px-Indianapolis_Colts_logo.svg.png,<img src = 'https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Chicago_Bears_logo.svg/100px-Chicago_Bears_logo.svg.png' height='12'></img>,M.Alie-Cox,2,2,13,13,0,0,0,1,1,13,1,9,7,4,1.92105748999165,TE,RTE,1,,,,,
