Name,name1,Team,Oppt,week,Points_FD,Salary_FD,Points_DK,Salary_DK,Points_YH,Salary_YH,logo,gsis_id,position.x,depth_chart_position.x,status,headshot_url,headshot_url2,team_logo_wikipedia,team_logo_wikipedia2,logo_def,wiki_logo_def,rusher_player_name,noruns,nopass,noplays,yards_gained,touchdown_rush,yards_rushing,epa_rusher,position.y,depth_chart_position.y,n,receiver_player_name,yards_passing,interception,sack,qb_hits,incomplete_pass,complete_pass,yards_receiving,touchdown_pass,yards_after_catch,air_yards,air_yards2,epa_receiver
"Akers, Cam",Ca.Akers,LAR,ARI,17,8.6,6300,11.6,6100,8.6,23,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/8/8a/Los_Angeles_Rams_logo.svg/100px-Los_Angeles_Rams_logo.svg.png' height='12'></img>,00-0036414,RB,RB,Active,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4240021.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4240021.png' height='20'></img>,https://upload.wikimedia.org/wikipedia/en/thumb/8/8a/Los_Angeles_Rams_logo.svg/100px-Los_Angeles_Rams_logo.svg.png$raw,https://upload.wikimedia.org/wikipedia/en/thumb/8/8a/Los_Angeles_Rams_logo.svg/100px-Los_Angeles_Rams_logo.svg.png,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/7/72/Arizona_Cardinals_logo.svg/179px-Arizona_Cardinals_logo.svg.png' height='12'></img>,https://upload.wikimedia.org/wikipedia/en/thumb/7/72/Arizona_Cardinals_logo.svg/179px-Arizona_Cardinals_logo.svg.png$raw,C.Akers,21,0,21,34,0,34,-14.7483644106542,RB,RB,1,C.Akers,52,0,0,0,0,4,52,0,25,27,27,2.55945171479834
"Akers, Cam",Ca.Akers,LAR,DAL,1,4.8,5800,5.3,5600,4.8,14,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/8/8a/Los_Angeles_Rams_logo.svg/100px-Los_Angeles_Rams_logo.svg.png' height='12'></img>,00-0036414,RB,RB,Active,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4240021.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4240021.png' height='20'></img>,https://upload.wikimedia.org/wikipedia/en/thumb/8/8a/Los_Angeles_Rams_logo.svg/100px-Los_Angeles_Rams_logo.svg.png$raw,https://upload.wikimedia.org/wikipedia/en/thumb/8/8a/Los_Angeles_Rams_logo.svg/100px-Los_Angeles_Rams_logo.svg.png,<img src = 'https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Dallas_Cowboys.svg/100px-Dallas_Cowboys.svg.png' height='12'></img>,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Dallas_Cowboys.svg/100px-Dallas_Cowboys.svg.png$raw,C.Akers,14,0,14,39,0,39,-4.4953274881118,RB,RB,1,C.Akers,4,0,0,0,0,1,4,0,3,1,1,-0.226044953218661
"Akers, Cam",Ca.Akers,LAR,NWE,14,20.4,5900,24.4,5100,20.4,20,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/8/8a/Los_Angeles_Rams_logo.svg/100px-Los_Angeles_Rams_logo.svg.png' height='12'></img>,00-0036414,RB,RB,Active,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4240021.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4240021.png' height='20'></img>,https://upload.wikimedia.org/wikipedia/en/thumb/8/8a/Los_Angeles_Rams_logo.svg/100px-Los_Angeles_Rams_logo.svg.png$raw,https://upload.wikimedia.org/wikipedia/en/thumb/8/8a/Los_Angeles_Rams_logo.svg/100px-Los_Angeles_Rams_logo.svg.png,,,C.Akers,29,0,29,171,0,171,-0.145575806964189,RB,RB,1,C.Akers,23,0,0,2,1,2,23,0,21,2,2,-0.790084701253667
"Akers, Cam",Ca.Akers,LAR,NYJ,15,6.7,6700,7.2,6600,6.7,29,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/8/8a/Los_Angeles_Rams_logo.svg/100px-Los_Angeles_Rams_logo.svg.png' height='12'></img>,00-0036414,RB,RB,Active,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4240021.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4240021.png' height='20'></img>,https://upload.wikimedia.org/wikipedia/en/thumb/8/8a/Los_Angeles_Rams_logo.svg/100px-Los_Angeles_Rams_logo.svg.png$raw,https://upload.wikimedia.org/wikipedia/en/thumb/8/8a/Los_Angeles_Rams_logo.svg/100px-Los_Angeles_Rams_logo.svg.png,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/6/6b/New_York_Jets_logo.svg/100px-New_York_Jets_logo.svg.png' height='12'></img>,https://upload.wikimedia.org/wikipedia/en/thumb/6/6b/New_York_Jets_logo.svg/100px-New_York_Jets_logo.svg.png$raw,C.Akers,15,0,15,63,0,63,-3.32890797394794,RB,RB,1,C.Akers,-1,0,0,0,2,1,-1,0,0,26,-1,-2.4568843752495
"Akers, Cam",Ca.Akers,LAR,SEA,10,3.8,5100,3.8,4200,3.8,12,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/8/8a/Los_Angeles_Rams_logo.svg/100px-Los_Angeles_Rams_logo.svg.png' height='12'></img>,00-0036414,RB,RB,Active,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4240021.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4240021.png' height='20'></img>,https://upload.wikimedia.org/wikipedia/en/thumb/8/8a/Los_Angeles_Rams_logo.svg/100px-Los_Angeles_Rams_logo.svg.png$raw,https://upload.wikimedia.org/wikipedia/en/thumb/8/8a/Los_Angeles_Rams_logo.svg/100px-Los_Angeles_Rams_logo.svg.png,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/8/8e/Seattle_Seahawks_logo.svg/100px-Seattle_Seahawks_logo.svg.png' height='12'></img>,https://upload.wikimedia.org/wikipedia/en/thumb/8/8e/Seattle_Seahawks_logo.svg/100px-Seattle_Seahawks_logo.svg.png$raw,C.Akers,10,0,10,38,0,38,-2.46204656275222,RB,RB,1,,,,,,,,,,,,,
"Akers, Cam",Ca.Akers,LAR,SFO,12,14.4,5500,14.4,4200,14.4,12,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/8/8a/Los_Angeles_Rams_logo.svg/100px-Los_Angeles_Rams_logo.svg.png' height='12'></img>,00-0036414,RB,RB,Active,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4240021.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4240021.png' height='20'></img>,https://upload.wikimedia.org/wikipedia/en/thumb/8/8a/Los_Angeles_Rams_logo.svg/100px-Los_Angeles_Rams_logo.svg.png$raw,https://upload.wikimedia.org/wikipedia/en/thumb/8/8a/Los_Angeles_Rams_logo.svg/100px-Los_Angeles_Rams_logo.svg.png,<img src = 'https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/San_Francisco_49ers_logo.svg/100px-San_Francisco_49ers_logo.svg.png' height='12'></img>,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/San_Francisco_49ers_logo.svg/100px-San_Francisco_49ers_logo.svg.png$raw,C.Akers,9,0,9,84,1,84,1.99791220715269,RB,RB,1,,,,,,,,,,,,,
"Akers, Cam",Ca.Akers,LAR,ARI,13,15.9,5600,16.4,4500,15.9,16,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/8/8a/Los_Angeles_Rams_logo.svg/100px-Los_Angeles_Rams_logo.svg.png' height='12'></img>,00-0036414,RB,RB,Active,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4240021.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4240021.png' height='20'></img>,https://upload.wikimedia.org/wikipedia/en/thumb/8/8a/Los_Angeles_Rams_logo.svg/100px-Los_Angeles_Rams_logo.svg.png$raw,https://upload.wikimedia.org/wikipedia/en/thumb/8/8a/Los_Angeles_Rams_logo.svg/100px-Los_Angeles_Rams_logo.svg.png,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/7/72/Arizona_Cardinals_logo.svg/179px-Arizona_Cardinals_logo.svg.png' height='12'></img>,https://upload.wikimedia.org/wikipedia/en/thumb/7/72/Arizona_Cardinals_logo.svg/179px-Arizona_Cardinals_logo.svg.png$raw,C.Akers,21,0,21,72,1,72,-6.51877637326055,RB,RB,1,C.Akers,22,0,0,0,0,1,22,0,21,1,1,1.74903804424685
"Akers, Cam",Ca.Akers,LAR,MIA,8,5.9,5000,6.4,4300,5.9,15,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/8/8a/Los_Angeles_Rams_logo.svg/100px-Los_Angeles_Rams_logo.svg.png' height='12'></img>,00-0036414,RB,RB,Active,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4240021.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4240021.png' height='20'></img>,https://upload.wikimedia.org/wikipedia/en/thumb/8/8a/Los_Angeles_Rams_logo.svg/100px-Los_Angeles_Rams_logo.svg.png$raw,https://upload.wikimedia.org/wikipedia/en/thumb/8/8a/Los_Angeles_Rams_logo.svg/100px-Los_Angeles_Rams_logo.svg.png,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/3/37/Miami_Dolphins_logo.svg/100px-Miami_Dolphins_logo.svg.png' height='12'></img>,https://upload.wikimedia.org/wikipedia/en/thumb/3/37/Miami_Dolphins_logo.svg/100px-Miami_Dolphins_logo.svg.png$raw,C.Akers,9,0,9,35,0,35,0.144800718640909,RB,RB,1,C.Akers,19,0,0,0,0,1,19,0,20,-1,-1,1.22329896467272
"Akers, Cam",Ca.Akers,LAR,PHI,2,1.3,5600,1.3,4500,1.3,13,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/8/8a/Los_Angeles_Rams_logo.svg/100px-Los_Angeles_Rams_logo.svg.png' height='12'></img>,00-0036414,RB,RB,Active,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4240021.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4240021.png' height='20'></img>,https://upload.wikimedia.org/wikipedia/en/thumb/8/8a/Los_Angeles_Rams_logo.svg/100px-Los_Angeles_Rams_logo.svg.png$raw,https://upload.wikimedia.org/wikipedia/en/thumb/8/8a/Los_Angeles_Rams_logo.svg/100px-Los_Angeles_Rams_logo.svg.png,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/8/8e/Philadelphia_Eagles_logo.svg/100px-Philadelphia_Eagles_logo.svg.png' height='12'></img>,https://upload.wikimedia.org/wikipedia/en/thumb/8/8e/Philadelphia_Eagles_logo.svg/100px-Philadelphia_Eagles_logo.svg.png$raw,C.Akers,3,0,3,13,0,13,0.0244961848948151,RB,RB,1,,,,,,,,,,,,,
"Akers, Cam",Ca.Akers,LAR,TAM,11,8.4,5400,8.9,4000,8.4,13,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/8/8a/Los_Angeles_Rams_logo.svg/100px-Los_Angeles_Rams_logo.svg.png' height='12'></img>,00-0036414,RB,RB,Active,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4240021.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4240021.png' height='20'></img>,https://upload.wikimedia.org/wikipedia/en/thumb/8/8a/Los_Angeles_Rams_logo.svg/100px-Los_Angeles_Rams_logo.svg.png$raw,https://upload.wikimedia.org/wikipedia/en/thumb/8/8a/Los_Angeles_Rams_logo.svg/100px-Los_Angeles_Rams_logo.svg.png,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/a/a2/Tampa_Bay_Buccaneers_logo.svg/100px-Tampa_Bay_Buccaneers_logo.svg.png' height='12'></img>,https://upload.wikimedia.org/wikipedia/en/thumb/a/a2/Tampa_Bay_Buccaneers_logo.svg/100px-Tampa_Bay_Buccaneers_logo.svg.png$raw,C.Akers,5,0,5,15,0,15,-2.35554497843032,RB,RB,1,C.Akers,4,0,0,0,0,1,4,1,1,3,3,1.53683222382097
