Name,name1,Team,Oppt,week,Points_FD,Salary_FD,Points_DK,Salary_DK,Points_YH,Salary_YH,logo,gsis_id,position.x,depth_chart_position.x,status,headshot_url,headshot_url2,team_logo_wikipedia,team_logo_wikipedia2,logo_def,wiki_logo_def,rusher_player_name,noruns,nopass,noplays,yards_gained,touchdown_rush,yards_rushing,epa_rusher,position.y,depth_chart_position.y,n,receiver_player_name,yards_passing,interception,sack,qb_hits,incomplete_pass,complete_pass,yards_receiving,touchdown_pass,yards_after_catch,air_yards,air_yards2,epa_receiver
"Coleman, Tevin",Te.Coleman,SFO,SEA,8,2,5000,2,4000,2,15,<img src = 'https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/San_Francisco_49ers_logo.svg/100px-San_Francisco_49ers_logo.svg.png' height='12'></img>,00-0032058,RB,RB,Active,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2979477.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2979477.png' height='20'></img>,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/San_Francisco_49ers_logo.svg/100px-San_Francisco_49ers_logo.svg.png$raw,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/San_Francisco_49ers_logo.svg/100px-San_Francisco_49ers_logo.svg.png,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/8/8e/Seattle_Seahawks_logo.svg/100px-Seattle_Seahawks_logo.svg.png' height='12'></img>,https://upload.wikimedia.org/wikipedia/en/thumb/8/8e/Seattle_Seahawks_logo.svg/100px-Seattle_Seahawks_logo.svg.png$raw,T.Coleman,3,0,3,20,0,20,1.63952620013151,RB,RB,1,,,,,,,,,,,,,
"Conner, James",Ja.Conner,PIT,CIN,10,5.8,7600,6.8,6900,5.8,26,<img src = 'https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Pittsburgh_Steelers_logo.svg/100px-Pittsburgh_Steelers_logo.svg.png' height='12'></img>,00-0033553,RB,RB,Active,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3045147.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3045147.png' height='20'></img>,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Pittsburgh_Steelers_logo.svg/100px-Pittsburgh_Steelers_logo.svg.png$raw,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Pittsburgh_Steelers_logo.svg/100px-Pittsburgh_Steelers_logo.svg.png,<img src = 'https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Cincinnati_Bengals_logo.svg/100px-Cincinnati_Bengals_logo.svg.png' height='12'></img>,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Cincinnati_Bengals_logo.svg/100px-Cincinnati_Bengals_logo.svg.png$raw,J.Conner,13,0,13,36,0,36,-3.66133610339602,RB,RB,1,J.Conner,12,0,0,0,0,2,12,0,9,3,3,-0.0149516321253032
"Conner, James",Ja.Conner,PIT,CLE,6,16.7,7100,20.2,7100,16.7,26,<img src = 'https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Pittsburgh_Steelers_logo.svg/100px-Pittsburgh_Steelers_logo.svg.png' height='12'></img>,00-0033553,RB,RB,Active,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3045147.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3045147.png' height='20'></img>,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Pittsburgh_Steelers_logo.svg/100px-Pittsburgh_Steelers_logo.svg.png$raw,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Pittsburgh_Steelers_logo.svg/100px-Pittsburgh_Steelers_logo.svg.png,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/d/d9/Cleveland_Browns_logo.svg/100px-Cleveland_Browns_logo.svg.png' height='12'></img>,https://upload.wikimedia.org/wikipedia/en/thumb/d/d9/Cleveland_Browns_logo.svg/100px-Cleveland_Browns_logo.svg.png$raw,J.Conner,20,0,20,101,1,101,5.37762687547365,RB,RB,1,J.Conner,1,0,0,0,0,1,1,0,5,-4,-4,-0.996414580615237
"Conner, James",Ja.Conner,PIT,DEN,2,19.1,6900,23.1,6800,19.1,22,<img src = 'https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Pittsburgh_Steelers_logo.svg/100px-Pittsburgh_Steelers_logo.svg.png' height='12'></img>,00-0033553,RB,RB,Active,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3045147.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3045147.png' height='20'></img>,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Pittsburgh_Steelers_logo.svg/100px-Pittsburgh_Steelers_logo.svg.png$raw,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Pittsburgh_Steelers_logo.svg/100px-Pittsburgh_Steelers_logo.svg.png,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/4/44/Denver_Broncos_logo.svg/100px-Denver_Broncos_logo.svg.png' height='12'></img>,https://upload.wikimedia.org/wikipedia/en/thumb/4/44/Denver_Broncos_logo.svg/100px-Denver_Broncos_logo.svg.png$raw,J.Conner,16,0,16,106,1,106,-0.0087932470908032,RB,RB,1,J.Conner,15,0,0,0,0,2,15,0,8,7,7,0.910902053001337
"Conner, James",Ja.Conner,PIT,HOU,3,22.9,7100,27.9,6700,22.9,17,<img src = 'https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Pittsburgh_Steelers_logo.svg/100px-Pittsburgh_Steelers_logo.svg.png' height='12'></img>,00-0033553,RB,RB,Active,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3045147.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3045147.png' height='20'></img>,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Pittsburgh_Steelers_logo.svg/100px-Pittsburgh_Steelers_logo.svg.png$raw,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Pittsburgh_Steelers_logo.svg/100px-Pittsburgh_Steelers_logo.svg.png,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/2/28/Houston_Texans_logo.svg/100px-Houston_Texans_logo.svg.png' height='12'></img>,https://upload.wikimedia.org/wikipedia/en/thumb/2/28/Houston_Texans_logo.svg/100px-Houston_Texans_logo.svg.png$raw,J.Conner,18,0,18,109,1,109,5.73439154395601,RB,RB,1,J.Conner,40,0,0,0,1,4,40,0,35,17,5,0.628153902208004
"Conner, James",Ja.Conner,PIT,IND,16,15,6100,17.5,5800,15,20,<img src = 'https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Pittsburgh_Steelers_logo.svg/100px-Pittsburgh_Steelers_logo.svg.png' height='12'></img>,00-0033553,RB,RB,Active,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3045147.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3045147.png' height='20'></img>,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Pittsburgh_Steelers_logo.svg/100px-Pittsburgh_Steelers_logo.svg.png$raw,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Pittsburgh_Steelers_logo.svg/100px-Pittsburgh_Steelers_logo.svg.png,<img src = 'https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Indianapolis_Colts_logo.svg/100px-Indianapolis_Colts_logo.svg.png' height='12'></img>,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Indianapolis_Colts_logo.svg/100px-Indianapolis_Colts_logo.svg.png$raw,J.Conner,5,0,5,21,1,21,1.43494686181657,RB,RB,1,J.Conner,45,0,0,0,0,5,45,0,52,-7,-7,2.5733989464934
"Conner, James",Ja.Conner,PIT,PHI,5,13.8,7000,15.3,6900,13.8,24,<img src = 'https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Pittsburgh_Steelers_logo.svg/100px-Pittsburgh_Steelers_logo.svg.png' height='12'></img>,00-0033553,RB,RB,Active,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3045147.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3045147.png' height='20'></img>,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Pittsburgh_Steelers_logo.svg/100px-Pittsburgh_Steelers_logo.svg.png$raw,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Pittsburgh_Steelers_logo.svg/100px-Pittsburgh_Steelers_logo.svg.png,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/8/8e/Philadelphia_Eagles_logo.svg/100px-Philadelphia_Eagles_logo.svg.png' height='12'></img>,https://upload.wikimedia.org/wikipedia/en/thumb/8/8e/Philadelphia_Eagles_logo.svg/100px-Philadelphia_Eagles_logo.svg.png$raw,J.Conner,15,0,15,44,1,44,-0.196890821331181,RB,RB,1,J.Conner,19,0,0,0,0,3,19,0,23,-4,-4,0.442760551780318
"Conner, James",Ja.Conner,PIT,BAL,8,13.5,6900,15,6400,13.5,21,<img src = 'https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Pittsburgh_Steelers_logo.svg/100px-Pittsburgh_Steelers_logo.svg.png' height='12'></img>,00-0033553,RB,RB,Active,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3045147.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3045147.png' height='20'></img>,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Pittsburgh_Steelers_logo.svg/100px-Pittsburgh_Steelers_logo.svg.png$raw,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Pittsburgh_Steelers_logo.svg/100px-Pittsburgh_Steelers_logo.svg.png,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/1/16/Baltimore_Ravens_logo.svg/193px-Baltimore_Ravens_logo.svg.png' height='12'></img>,https://upload.wikimedia.org/wikipedia/en/thumb/1/16/Baltimore_Ravens_logo.svg/193px-Baltimore_Ravens_logo.svg.png$raw,J.Conner,15,0,15,47,1,47,-0.605182943167165,RB,RB,1,J.Conner,13,0,0,0,0,3,13,0,20,-7,-7,-0.767499545647297
"Conner, James",Ja.Conner,PIT,BUF,14,1.8,6500,1.8,6300,1.8,20,<img src = 'https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Pittsburgh_Steelers_logo.svg/100px-Pittsburgh_Steelers_logo.svg.png' height='12'></img>,00-0033553,RB,RB,Active,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3045147.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3045147.png' height='20'></img>,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Pittsburgh_Steelers_logo.svg/100px-Pittsburgh_Steelers_logo.svg.png$raw,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Pittsburgh_Steelers_logo.svg/100px-Pittsburgh_Steelers_logo.svg.png,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/7/77/Buffalo_Bills_logo.svg/189px-Buffalo_Bills_logo.svg.png' height='12'></img>,https://upload.wikimedia.org/wikipedia/en/thumb/7/77/Buffalo_Bills_logo.svg/189px-Buffalo_Bills_logo.svg.png$raw,J.Conner,10,0,10,18,0,18,-3.28257199848304,RB,RB,1,,,,,,,,,,,,,
"Conner, James",Ja.Conner,PIT,CLE,17,8.7,6200,11.2,6000,8.7,15,<img src = 'https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Pittsburgh_Steelers_logo.svg/100px-Pittsburgh_Steelers_logo.svg.png' height='12'></img>,00-0033553,RB,RB,Active,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3045147.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3045147.png' height='20'></img>,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Pittsburgh_Steelers_logo.svg/100px-Pittsburgh_Steelers_logo.svg.png$raw,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Pittsburgh_Steelers_logo.svg/100px-Pittsburgh_Steelers_logo.svg.png,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/d/d9/Cleveland_Browns_logo.svg/100px-Cleveland_Browns_logo.svg.png' height='12'></img>,https://upload.wikimedia.org/wikipedia/en/thumb/d/d9/Cleveland_Browns_logo.svg/100px-Cleveland_Browns_logo.svg.png$raw,J.Conner,9,0,9,37,0,37,-0.215344056137837,RB,RB,1,J.Conner,25,0,0,1,3,5,25,0,26,0,-1,-3.79118259874504
"Conner, James",Ja.Conner,PIT,DAL,9,3,8200,4,6900,3,26,<img src = 'https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Pittsburgh_Steelers_logo.svg/100px-Pittsburgh_Steelers_logo.svg.png' height='12'></img>,00-0033553,RB,RB,Active,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3045147.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3045147.png' height='20'></img>,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Pittsburgh_Steelers_logo.svg/100px-Pittsburgh_Steelers_logo.svg.png$raw,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Pittsburgh_Steelers_logo.svg/100px-Pittsburgh_Steelers_logo.svg.png,<img src = 'https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Dallas_Cowboys.svg/100px-Dallas_Cowboys.svg.png' height='12'></img>,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Dallas_Cowboys.svg/100px-Dallas_Cowboys.svg.png$raw,J.Conner,9,0,9,22,0,22,-4.08097944490146,RB,RB,1,J.Conner,-2,0,0,0,0,2,-2,0,0,-2,-2,-1.74916538165417
"Conner, James",Ja.Conner,PIT,JAC,11,11.4,7000,12.9,6600,11.4,21,<img src = 'https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Pittsburgh_Steelers_logo.svg/100px-Pittsburgh_Steelers_logo.svg.png' height='12'></img>,00-0033553,RB,RB,Active,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3045147.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3045147.png' height='20'></img>,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Pittsburgh_Steelers_logo.svg/100px-Pittsburgh_Steelers_logo.svg.png$raw,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Pittsburgh_Steelers_logo.svg/100px-Pittsburgh_Steelers_logo.svg.png,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/7/74/Jacksonville_Jaguars_logo.svg/100px-Jacksonville_Jaguars_logo.svg.png' height='12'></img>,https://upload.wikimedia.org/wikipedia/en/thumb/7/74/Jacksonville_Jaguars_logo.svg/100px-Jacksonville_Jaguars_logo.svg.png$raw,J.Conner,13,0,13,89,0,89,3.18360803081305,RB,RB,1,J.Conner,10,0,0,0,0,3,10,0,18,-8,-8,-0.733820477142466
"Conner, James",Ja.Conner,PIT,NYG,1,2.7,6800,3.7,6600,2.7,23,<img src = 'https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Pittsburgh_Steelers_logo.svg/100px-Pittsburgh_Steelers_logo.svg.png' height='12'></img>,00-0033553,RB,RB,Active,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3045147.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3045147.png' height='20'></img>,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Pittsburgh_Steelers_logo.svg/100px-Pittsburgh_Steelers_logo.svg.png$raw,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Pittsburgh_Steelers_logo.svg/100px-Pittsburgh_Steelers_logo.svg.png,<img src = 'https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/New_York_Giants_logo.svg/100px-New_York_Giants_logo.svg.png' height='12'></img>,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/New_York_Giants_logo.svg/100px-New_York_Giants_logo.svg.png$raw,J.Conner,6,0,6,9,0,9,-3.23979915468954,RB,RB,1,J.Conner,8,0,0,0,2,2,8,0,8,-2,0,-0.407853425946087
"Conner, James",Ja.Conner,PIT,TEN,7,12.6,7200,14.1,6700,12.6,26,<img src = 'https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Pittsburgh_Steelers_logo.svg/100px-Pittsburgh_Steelers_logo.svg.png' height='12'></img>,00-0033553,RB,RB,Active,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3045147.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3045147.png' height='20'></img>,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Pittsburgh_Steelers_logo.svg/100px-Pittsburgh_Steelers_logo.svg.png$raw,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Pittsburgh_Steelers_logo.svg/100px-Pittsburgh_Steelers_logo.svg.png,<img src = 'https://raw.githubusercontent.com/guga31bb/nflfastR-data/master/titans.png' height='12'></img>,https://raw.githubusercontent.com/guga31bb/nflfastR-data/master/titans.png$raw,J.Conner,20,0,20,82,0,82,0.512108055525459,RB,RB,1,J.Conner,29,0,0,0,2,3,29,0,26,3,3,0.665128026972525
"Cook, Dalvin",Da.Cook,MIN,CAR,12,8.2,11000,11.2,9500,8.2,42,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Minnesota_Vikings_logo.svg/98px-Minnesota_Vikings_logo.svg.png' height='12'></img>,00-0033893,RB,RB,Active,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3116593.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3116593.png' height='20'></img>,https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Minnesota_Vikings_logo.svg/98px-Minnesota_Vikings_logo.svg.png$raw,https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Minnesota_Vikings_logo.svg/98px-Minnesota_Vikings_logo.svg.png,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/1/1c/Carolina_Panthers_logo.svg/100px-Carolina_Panthers_logo.svg.png' height='12'></img>,https://upload.wikimedia.org/wikipedia/en/thumb/1/1c/Carolina_Panthers_logo.svg/100px-Carolina_Panthers_logo.svg.png$raw,D.Cook,18,0,18,61,0,61,-9.36229603044541,RB,RB,1,D.Cook,21,0,0,0,0,4,21,0,32,-11,-11,-0.181634529377334
"Cook, Dalvin",Da.Cook,MIN,CHI,15,24.4,9400,29.9,9000,24.4,40,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Minnesota_Vikings_logo.svg/98px-Minnesota_Vikings_logo.svg.png' height='12'></img>,00-0033893,RB,RB,Active,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3116593.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3116593.png' height='20'></img>,https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Minnesota_Vikings_logo.svg/98px-Minnesota_Vikings_logo.svg.png$raw,https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Minnesota_Vikings_logo.svg/98px-Minnesota_Vikings_logo.svg.png,<img src = 'https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Chicago_Bears_logo.svg/100px-Chicago_Bears_logo.svg.png' height='12'></img>,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Chicago_Bears_logo.svg/100px-Chicago_Bears_logo.svg.png$raw,D.Cook,24,0,24,132,1,132,-2.38826023216825,RB,RB,1,D.Cook,27,0,0,0,0,5,27,0,28,-1,-1,0.526255627337378
"Cook, Dalvin",Da.Cook,MIN,DAL,11,22.5,10500,29,9000,22.5,40,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Minnesota_Vikings_logo.svg/98px-Minnesota_Vikings_logo.svg.png' height='12'></img>,00-0033893,RB,RB,Active,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3116593.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3116593.png' height='20'></img>,https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Minnesota_Vikings_logo.svg/98px-Minnesota_Vikings_logo.svg.png$raw,https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Minnesota_Vikings_logo.svg/98px-Minnesota_Vikings_logo.svg.png,<img src = 'https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Dallas_Cowboys.svg/100px-Dallas_Cowboys.svg.png' height='12'></img>,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Dallas_Cowboys.svg/100px-Dallas_Cowboys.svg.png$raw,D.Cook,27,0,27,115,1,115,0.223769772797823,RB,RB,1,D.Cook,45,0,0,0,0,5,45,0,46,-1,-1,-3.57766907569021
"Cook, Dalvin",Da.Cook,MIN,DET,9,38.2,9300,42.2,8200,38.2,37,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Minnesota_Vikings_logo.svg/98px-Minnesota_Vikings_logo.svg.png' height='12'></img>,00-0033893,RB,RB,Active,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3116593.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3116593.png' height='20'></img>,https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Minnesota_Vikings_logo.svg/98px-Minnesota_Vikings_logo.svg.png$raw,https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Minnesota_Vikings_logo.svg/98px-Minnesota_Vikings_logo.svg.png,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/7/71/Detroit_Lions_logo.svg/100px-Detroit_Lions_logo.svg.png' height='12'></img>,https://upload.wikimedia.org/wikipedia/en/thumb/7/71/Detroit_Lions_logo.svg/100px-Detroit_Lions_logo.svg.png$raw,D.Cook,22,0,22,206,2,206,9.00055994500872,RB,RB,1,D.Cook,46,0,0,1,0,2,46,0,40,6,6,3.84640072809998
"Cook, Dalvin",Da.Cook,MIN,GNB,1,21.3,8700,21.8,7900,21.3,31,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Minnesota_Vikings_logo.svg/98px-Minnesota_Vikings_logo.svg.png' height='12'></img>,00-0033893,RB,RB,Active,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3116593.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3116593.png' height='20'></img>,https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Minnesota_Vikings_logo.svg/98px-Minnesota_Vikings_logo.svg.png$raw,https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Minnesota_Vikings_logo.svg/98px-Minnesota_Vikings_logo.svg.png,<img src = 'https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Green_Bay_Packers_logo.svg/100px-Green_Bay_Packers_logo.svg.png' height='12'></img>,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Green_Bay_Packers_logo.svg/100px-Green_Bay_Packers_logo.svg.png$raw,D.Cook,12,0,12,50,2,50,3.49621049140114,RB,RB,1,D.Cook,-2,0,0,1,1,1,-2,0,1,-8,-3,-2.08561214897782
"Cook, Dalvin",Da.Cook,MIN,JAC,13,20.9,10500,26.9,9500,20.9,41,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Minnesota_Vikings_logo.svg/98px-Minnesota_Vikings_logo.svg.png' height='12'></img>,00-0033893,RB,RB,Active,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3116593.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3116593.png' height='20'></img>,https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Minnesota_Vikings_logo.svg/98px-Minnesota_Vikings_logo.svg.png$raw,https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Minnesota_Vikings_logo.svg/98px-Minnesota_Vikings_logo.svg.png,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/7/74/Jacksonville_Jaguars_logo.svg/100px-Jacksonville_Jaguars_logo.svg.png' height='12'></img>,https://upload.wikimedia.org/wikipedia/en/thumb/7/74/Jacksonville_Jaguars_logo.svg/100px-Jacksonville_Jaguars_logo.svg.png$raw,D.Cook,32,0,32,120,0,120,-1.75209151575109,RB,RB,1,D.Cook,59,1,0,2,2,6,59,0,73,-15,-14,-7.37574021948967
"Cook, Dalvin",Da.Cook,MIN,TEN,3,24.9,8600,29.9,7600,24.9,29,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Minnesota_Vikings_logo.svg/98px-Minnesota_Vikings_logo.svg.png' height='12'></img>,00-0033893,RB,RB,Active,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3116593.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3116593.png' height='20'></img>,https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Minnesota_Vikings_logo.svg/98px-Minnesota_Vikings_logo.svg.png$raw,https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Minnesota_Vikings_logo.svg/98px-Minnesota_Vikings_logo.svg.png,<img src = 'https://raw.githubusercontent.com/guga31bb/nflfastR-data/master/titans.png' height='12'></img>,https://raw.githubusercontent.com/guga31bb/nflfastR-data/master/titans.png$raw,D.Cook,22,0,22,181,1,181,0.570588122878689,RB,RB,1,D.Cook,18,0,0,2,3,2,18,0,14,-2,4,-0.893557080300525
"Cook, Dalvin",Da.Cook,MIN,CHI,10,13.2,9500,15.2,8900,13.2,40,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Minnesota_Vikings_logo.svg/98px-Minnesota_Vikings_logo.svg.png' height='12'></img>,00-0033893,RB,RB,Active,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3116593.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3116593.png' height='20'></img>,https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Minnesota_Vikings_logo.svg/98px-Minnesota_Vikings_logo.svg.png$raw,https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Minnesota_Vikings_logo.svg/98px-Minnesota_Vikings_logo.svg.png,<img src = 'https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Chicago_Bears_logo.svg/100px-Chicago_Bears_logo.svg.png' height='12'></img>,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Chicago_Bears_logo.svg/100px-Chicago_Bears_logo.svg.png$raw,D.Cook,30,0,30,96,0,96,-6.86952814942924,RB,RB,1,D.Cook,16,0,0,0,0,4,16,0,18,-2,-2,0.0802879042457789
