posteam,week,nodrives,noplays,noruns,nopass,sack,interception,incomplete_pass,complete_pass,notds,touchdown_rush,touchdown_pass,yards_gained,yards_passing,yards_receiving,yards_rushing,yards_after_catch,air_yards2,air_yards,epa,def_nodrives,def_noplays,def_noruns,def_nopass,def_sack,def_interception,def_incomplete_pass,def_complete_pass,def_notds,def_touchdown_rush,def_touchdown_pass,def_yards_gained,def_yards_passing,def_yards_receiving,def_yards_rushing,def_yards_after_catch,def_air_yards2,def_air_yards,def_epa
DAL,7,9,54,26,22,6,1,10,11,0,0,0,142,114,114,83,52,62,160,-16.1204588081084,10,66,39,25,2,0,10,15,3,1,2,397,194,194,208,70,124,197,8.2547389285608
DAL,8,12,78,35,40,4,0,19,21,1,0,0,265,180,180,133,120,60,313,-27.019778466643,11,58,26,28,4,2,10,16,2,0,2,222,132,132,119,32,100,304,-18.2852819958353
DAL,9,11,70,31,38,2,1,16,21,1,0,1,364,243,243,144,52,191,348,-8.99498267971402,11,63,18,45,0,0,14,31,3,0,3,355,309,309,46,185,124,328,2.50526719444685
DAL,11,11,64,31,32,1,1,9,22,4,1,3,376,203,203,180,80,123,206,5.52432960067375,10,61,29,30,2,0,8,22,4,1,3,430,314,314,125,136,178,262,5.41505877918098
DAL,12,11,57,18,35,4,1,9,25,2,0,1,247,215,215,60,72,143,209,-28.1638726531906,11,66,36,27,3,1,6,20,4,3,1,338,177,177,182,82,95,120,2.28134401282405
DAL,13,10,77,28,48,1,1,16,31,2,0,2,388,285,285,111,124,161,453,2.44450128790339,9,54,37,17,0,1,4,12,4,2,2,401,107,107,294,51,56,94,14.6716591329669
DAL,14,8,50,25,23,2,0,7,16,2,0,2,272,185,185,101,65,120,186,8.0566199815263,9,70,30,38,2,0,10,28,2,0,1,309,222,222,101,145,77,153,-18.1338952992228
DAL,15,13,58,22,34,2,0,14,20,4,2,2,291,221,221,87,148,73,206,0.262911938948368,14,81,36,43,2,2,15,26,4,1,3,458,319,319,150,120,199,334,6.85432198270269
DAL,16,13,66,34,30,2,1,7,22,4,1,3,513,377,377,151,225,152,238,10.243969595457,13,70,29,39,3,2,16,21,2,1,1,477,342,342,151,129,213,376,-4.73524353820254
DAL,17,12,80,27,47,6,1,17,29,1,1,0,307,244,244,108,126,118,258,-8.07703839581653,12,55,28,25,2,1,7,17,3,1,2,336,229,229,125,68,161,287,-1.44524572550171
DEN,1,11,59,26,33,0,0,11,22,2,1,1,323,216,216,107,133,83,303,-5.00688332249411,10,78,34,43,1,0,14,29,2,0,2,377,249,249,130,96,153,266,8.17215465594378
DEN,2,13,72,26,39,7,1,19,19,2,0,2,319,276,276,104,61,215,515,-14.6954601443933,14,64,22,41,1,1,11,29,3,1,2,410,311,311,109,168,143,233,-9.93728437296363
DEN,3,11,59,14,39,6,2,12,25,1,0,1,226,229,229,42,92,137,262,-16.252187008178,12,65,25,38,2,0,13,25,3,0,3,353,297,297,68,111,186,311,9.19952946687413
DEN,4,13,63,32,31,0,3,9,19,5,2,2,359,242,242,117,60,182,302,-2.08697217285232,11,74,24,44,6,0,19,25,1,1,0,321,246,246,129,68,178,439,-12.2458982709982
DEN,6,11,63,37,24,2,2,12,10,0,0,0,299,189,189,135,50,139,391,-8.0818069328677,11,56,25,27,4,2,6,19,1,1,0,288,195,195,117,136,59,147,-14.6198981404305
DEN,7,13,76,33,40,3,2,14,24,3,2,0,411,254,254,177,164,90,265,-19.188788512628,11,51,22,25,4,0,8,17,3,2,1,286,213,213,101,131,82,166,3.06260576954548
DEN,8,13,58,16,41,2,1,14,26,4,1,3,351,248,248,108,115,133,308,4.44106955456824,12,84,38,44,2,2,13,29,3,0,3,485,278,278,210,140,138,296,3.05636433762866
DEN,9,13,71,22,48,1,1,22,25,3,1,2,405,313,313,103,127,186,440,-2.362669827205,14,69,32,35,2,1,9,25,4,1,3,363,284,284,92,89,195,336,1.44912020646836
DEN,10,12,68,19,47,2,4,20,23,1,0,1,313,257,257,66,64,193,397,-20.9242436347083,13,66,41,25,0,0,9,16,4,4,0,357,154,154,203,64,90,219,6.36034001596861
DEN,11,11,63,33,30,0,1,11,18,2,2,0,459,270,270,189,140,130,341,-2.63395776769617,10,61,17,38,6,1,14,23,1,0,1,223,200,200,56,79,121,304,-9.97493521502235
DEN,12,12,43,33,9,1,2,6,1,0,0,0,112,13,13,100,16,-3,134,-30.9791021387188,12,63,44,16,3,1,6,9,4,4,0,292,78,78,229,46,32,105,3.03283336563435
DEN,13,9,61,33,28,0,2,11,15,2,0,2,330,151,151,179,74,77,234,6.59883280458065,10,63,22,40,1,0,15,25,1,0,1,447,318,318,134,152,166,378,9.50224723988278
DEN,14,10,58,30,27,1,0,6,21,4,0,4,365,280,280,96,156,124,170,7.10275616045692,11,65,21,40,4,0,10,30,3,3,0,370,283,283,125,161,122,236,3.80896005995019
DEN,15,12,63,28,32,3,0,12,20,4,2,1,255,132,132,140,64,68,125,-8.33475512692091,9,65,24,40,1,0,12,28,5,3,2,534,359,359,182,118,241,404,32.3969229403071
DEN,16,10,76,28,47,2,2,21,24,1,1,0,396,264,264,133,96,168,541,1.47461296630612,10,55,20,33,2,0,12,21,1,0,1,316,253,253,89,129,124,208,-1.18470632506939
DEN,17,14,75,32,41,2,0,16,25,3,1,2,446,339,339,122,216,123,293,-1.31623758272381,14,64,23,38,3,2,12,24,4,2,2,465,371,371,106,123,248,379,3.20852149801794
DET,1,12,71,29,42,1,1,17,24,2,1,1,426,297,297,138,129,168,372,-1.00213374802836,12,65,28,36,1,0,16,20,3,0,3,363,242,242,149,81,161,349,7.23818732849844
DET,2,11,58,21,33,4,1,12,20,4,1,2,307,244,244,89,138,106,257,-2.06254082077066,10,66,35,30,1,0,12,18,4,2,2,488,240,240,259,100,140,277,22.3177264983016
DET,3,10,62,27,31,4,0,9,22,2,0,2,322,270,270,90,151,119,220,1.98251604393786,10,63,27,35,1,3,9,23,3,1,2,377,270,270,109,119,151,332,-0.212294080178253
DET,4,9,56,22,31,3,1,13,17,4,1,3,281,206,206,90,75,131,325,2.64845391747076,9,69,42,25,2,1,5,19,5,3,2,392,246,246,164,90,156,233,17.2745078731095
DET,6,11,70,39,31,0,1,11,19,4,3,1,403,223,223,180,94,129,269,8.312749754649,11,61,16,44,1,1,18,25,2,1,1,275,243,243,44,112,131,417,-6.81394628241002
DET,7,10,55,21,36,2,0,11,25,2,1,1,386,340,340,64,80,260,337,6.51530496954037,9,70,26,42,2,0,11,31,3,2,1,388,338,338,66,103,235,283,4.54828692047158
DET,8,12,59,13,42,5,1,17,24,4,0,3,326,336,336,29,142,194,398,-12.6201239854528,11,75,39,34,2,0,11,23,5,2,3,366,262,262,119,143,119,224,11.6374496592325
DET,9,12,73,27,45,2,3,11,31,2,0,2,421,305,305,129,167,138,273,-7.00496168915782,11,55,34,20,1,0,7,13,5,2,3,487,220,220,275,114,106,217,15.2218715040945
DET,10,10,55,21,33,1,0,9,24,3,0,3,372,276,276,105,146,130,218,10.4403085075017,10,83,26,55,2,0,17,38,3,3,0,464,390,390,89,197,193,324,13.088968243082
DET,11,11,55,17,33,5,0,15,18,0,0,0,185,178,178,40,93,85,192,-20.4718651259389,11,70,34,35,1,2,9,24,2,1,1,374,258,258,116,123,135,235,-4.94435323543156
DET,12,12,76,29,43,4,1,14,28,4,2,1,388,295,295,109,162,133,348,-14.7950711198318,12,50,23,25,2,0,8,17,4,0,4,384,318,318,77,115,203,319,10.6828139854187
DET,13,12,66,22,42,2,1,14,27,5,2,3,460,402,402,60,68,334,571,14.6451124666492,11,67,31,34,2,0,8,26,4,3,1,389,267,267,140,150,117,212,6.19132059933109
DET,14,8,58,15,40,4,0,13,27,3,2,1,293,273,273,51,155,118,239,8.69990109655547,8,64,31,33,0,0,7,26,4,1,3,410,290,290,120,171,119,210,19.5686547539663
DET,15,9,65,27,38,0,1,10,27,3,2,1,430,307,307,123,112,195,353,8.64256070731403,10,66,38,27,1,0,6,21,6,3,3,463,273,273,195,131,142,246,30.5990858548661
DET,16,12,50,15,31,4,1,9,21,0,0,0,186,152,152,73,89,63,166,-29.5470478410134,13,70,26,42,2,0,11,31,7,1,6,588,491,491,111,162,329,467,24.7394347501845
DET,17,9,54,22,31,1,1,10,20,5,2,3,417,293,293,129,83,210,443,17.431505919275,11,74,31,40,3,0,12,28,5,2,3,508,405,405,125,210,195,271,19.3808211534387
GNB,1,10,76,32,44,0,0,12,32,5,1,4,522,364,364,158,155,209,391,23.5100873921861,10,49,22,25,2,1,5,19,4,2,2,382,259,259,134,72,187,267,12.9600120622839
GNB,2,10,66,35,30,1,0,12,18,4,2,2,488,240,240,259,100,140,277,22.3177264983016,11,58,21,33,4,1,12,20,4,1,2,307,244,244,89,138,106,257,-2.06254082077066
GNB,3,10,59,26,32,1,0,11,21,4,1,3,369,283,283,98,151,132,288,9.29927822878195,10,57,20,36,2,0,7,29,3,0,3,397,288,288,122,163,125,152,6.85088473479483
GNB,4,9,60,26,33,1,0,6,27,4,0,4,403,327,327,88,173,154,285,16.9657940604775,9,68,25,39,4,0,11,28,2,2,0,327,285,285,78,111,174,369,2.61232456193011
GNB,6,12,61,21,35,5,2,17,16,2,1,0,201,160,160,94,81,79,298,-18.248785998928,11,63,35,28,0,0,11,17,4,2,2,324,166,166,158,72,94,231,3.29159127735631
GNB,7,11,61,27,34,0,0,11,23,5,1,4,379,283,283,96,167,116,233,17.3138392318506,12,64,22,39,3,0,10,29,2,0,2,365,309,309,79,133,176,248,-1.44240609116403
GNB,8,8,65,24,41,1,0,14,27,3,0,3,400,291,291,109,125,166,334,11.5004918146878,7,49,34,14,1,0,3,11,4,3,1,324,160,160,173,131,29,25,18.8787446902716
GNB,9,11,63,31,31,1,0,6,25,4,0,4,405,305,305,111,131,174,229,17.673942271157,10,53,17,35,1,1,12,22,2,1,1,337,291,291,55,197,94,224,-3.86743061587318
GNB,10,13,60,25,34,1,1,9,24,3,1,2,395,325,325,80,237,88,212,-3.97802235167831,11,61,23,35,3,1,16,18,1,0,1,260,169,169,109,92,77,207,-11.896236436854
GNB,11,12,55,18,38,1,1,10,27,4,1,3,367,311,311,66,134,177,297,-3.08973995090824,13,74,37,36,1,1,11,24,3,0,3,420,288,288,140,164,124,263,0.711216692009655
GNB,12,9,68,39,29,0,0,8,21,5,1,4,393,211,211,182,122,89,244,19.2433639765368,9,65,16,46,3,2,18,26,4,0,3,350,242,242,121,94,148,400,1.48003114362237
GNB,13,10,61,25,34,2,0,9,25,4,1,3,437,295,295,149,133,162,364,18.2948422157837,9,59,25,27,7,1,15,11,1,0,1,278,188,188,117,35,153,269,-6.1698516776464
GNB,14,8,64,31,33,0,0,7,26,4,1,3,410,290,290,120,171,119,210,19.5686547539663,8,58,15,40,4,0,13,27,3,2,1,293,273,273,51,155,118,239,8.69990109655547
GNB,15,11,61,27,29,5,0,9,20,3,2,1,291,143,143,195,106,37,123,2.78450183572878,10,65,27,35,3,0,14,21,1,1,0,364,258,258,115,141,117,238,-1.28228762722469
GNB,16,10,63,37,25,1,1,3,21,6,2,4,448,231,231,234,108,123,178,21.3038258685556,9,55,27,26,2,2,13,11,2,1,1,260,121,121,156,38,83,212,-5.92593287338968
GNB,17,7,44,19,24,1,0,5,19,5,1,4,316,240,240,79,154,86,172,21.2069041824434,9,74,31,42,1,1,8,33,1,1,0,356,252,252,108,123,129,261,-8.62064864252352
HOU,1,9,58,22,32,4,1,11,20,3,2,1,360,253,253,118,132,121,283,9.78399233206762,9,67,34,32,1,0,8,24,4,1,3,369,211,211,166,133,78,147,14.3226077463646
HOU,2,10,56,17,36,4,1,10,25,2,0,1,304,275,275,51,112,163,283,-11.2367893349799,9,65,37,24,4,0,6,18,2,1,1,407,204,204,230,103,101,190,10.3126675429742
HOU,3,10,47,15,27,5,1,7,19,3,1,2,260,264,264,29,82,182,285,2.06127261323854,11,76,38,36,2,0,13,23,3,1,2,387,237,237,169,140,97,323,4.91600769985419
HOU,4,10,62,26,33,3,0,13,20,2,0,2,386,300,300,96,102,198,300,1.51803419893888,12,65,40,22,3,0,6,16,4,3,1,410,260,260,162,94,166,276,16.0566877560845
HOU,5,10,58,22,35,1,2,8,25,3,0,3,486,359,359,129,136,223,366,11.6454923381779,10,73,20,49,4,0,18,31,2,0,2,364,301,301,75,158,143,295,-3.81160100136015
HOU,6,10,66,27,38,2,0,10,28,5,1,4,412,335,335,92,112,223,334,19.9477509592883,11,70,27,41,2,1,10,30,6,2,4,607,366,366,263,158,208,309,28.2019176663246
HOU,7,12,64,22,39,3,0,10,29,2,0,2,365,309,309,79,133,176,248,-1.44240609116403,11,61,27,34,0,0,11,23,5,1,4,379,283,283,96,167,116,233,17.3138392318506
HOU,9,12,62,28,32,2,0,13,19,3,1,2,374,281,281,107,194,87,291,4.4695526333952,12,67,27,38,2,1,11,26,3,2,1,403,304,304,115,135,169,323,1.52940363416473
HOU,10,8,54,22,30,2,0,10,20,1,0,1,243,163,163,90,92,71,180,0.692595007007855,8,62,41,20,1,0,8,12,1,1,0,356,132,132,231,55,77,165,-2.79779223624019
HOU,11,9,56,19,37,0,0,9,28,3,1,2,399,344,344,55,167,177,314,15.9349056659096,10,66,24,40,2,0,14,26,2,1,1,435,365,365,86,193,172,239,10.6442432842319
HOU,12,12,50,23,25,2,0,8,17,4,0,4,384,318,318,77,115,203,319,10.6828139854187,12,76,29,43,4,1,14,28,4,2,1,388,295,295,109,162,133,348,-14.7950711198318
HOU,13,11,62,19,38,5,1,11,26,2,2,0,398,341,341,90,106,235,394,-1.51544786768375,12,67,29,35,3,0,8,27,3,1,2,371,285,285,109,161,124,189,5.7721082585025
HOU,14,11,64,27,30,7,0,9,21,1,0,1,263,219,219,108,122,97,197,-10.4007814815268,11,59,23,33,3,0,9,24,4,1,3,410,267,267,169,190,77,144,15.4073810468781
HOU,15,8,67,21,41,5,0,8,33,2,0,2,425,373,373,83,140,233,313,10.1721426435323,8,53,23,29,1,0,7,22,3,1,2,350,228,228,127,103,125,199,14.77840715211
HOU,16,11,51,17,33,1,0,9,24,4,1,3,488,324,302,166,116,186,339,12.434617999499,11,71,33,38,0,0,9,29,4,2,2,540,371,371,169,187,184,329,24.5227312662643
HOU,17,10,61,17,40,4,1,10,29,4,1,3,457,385,385,96,95,290,416,16.361848181433,11,70,41,27,2,0,9,18,5,4,1,492,216,216,288,62,154,306,19.8104656369693
IND,1,9,69,22,46,1,2,8,36,2,1,1,445,363,363,88,212,151,289,1.77861682832262,9,47,23,20,4,0,1,19,3,0,3,241,173,173,91,98,75,89,6.15406756103829
IND,2,10,67,40,25,2,1,5,19,2,1,1,354,214,214,151,108,106,219,-0.247046007895931,10,46,18,26,3,3,12,11,1,1,0,175,113,113,80,19,94,312,-14.4085986342093
IND,3,10,56,31,25,0,0,6,19,2,1,1,353,234,234,119,119,115,143,3.39923470039312,11,60,29,29,2,3,9,17,3,0,1,260,168,168,109,122,46,182,-25.4692773325369
IND,4,11,68,38,29,1,0,13,16,1,0,1,289,190,190,103,73,117,230,-1.15236083738868,11,59,16,42,1,1,15,26,1,0,1,269,249,249,28,71,178,373,-9.93788058316699
IND,5,10,52,18,33,1,2,10,21,2,1,0,308,243,243,68,101,142,263,-2.27330811210952,9,72,33,38,1,2,14,22,2,0,2,385,265,265,124,81,184,340,2.65446832107926
IND,6,11,60,15,44,1,1,14,29,4,1,3,430,371,371,59,174,197,340,12.837047692165,11,73,32,39,2,1,13,25,3,3,0,398,313,313,98,130,183,344,14.5566617517389
IND,8,11,75,39,34,2,0,11,23,5,2,3,366,262,262,119,143,119,224,11.6374496592325,12,59,13,42,5,1,17,24,4,0,3,326,336,336,29,142,194,398,-12.6201239854528
IND,9,12,63,21,44,0,1,18,25,2,1,0,339,227,227,112,169,58,270,-23.4127073568937,10,63,38,23,2,0,4,19,2,2,0,266,170,170,110,104,66,86,-0.0194618788922933
IND,10,8,68,29,39,1,0,10,29,3,2,1,430,308,308,133,205,103,192,13.9660994874772,9,60,32,27,1,0,12,15,2,1,1,294,147,147,157,76,71,197,-3.90883987775479
IND,11,13,74,37,36,1,1,11,24,3,0,3,420,288,288,140,164,124,263,0.711216692009655,12,55,18,38,1,1,10,27,4,1,3,367,311,311,66,134,177,297,-3.08973995090824
IND,12,12,67,21,44,2,1,19,24,4,2,2,336,295,295,56,164,131,339,0.982084424904315,11,68,45,22,1,0,9,13,5,4,1,449,221,221,229,118,103,153,17.7392766704725
IND,13,12,67,29,35,3,0,8,27,3,1,2,371,285,285,109,161,124,189,5.7721082585025,11,62,19,38,5,1,11,26,2,2,0,398,341,341,90,106,235,394,-1.51544786768375
IND,14,9,59,31,28,0,0,9,19,4,2,2,456,244,244,212,105,139,255,22.4589123468512,9,68,22,46,0,2,12,32,4,1,2,424,345,345,79,159,186,325,0.194323665616431
IND,15,8,53,23,29,1,0,7,22,3,1,2,350,228,228,127,103,125,199,14.77840715211,8,67,21,41,5,0,8,33,2,0,2,425,373,373,83,140,233,313,10.1721426435323
IND,16,12,67,28,34,5,1,12,21,3,2,1,365,270,270,127,131,139,379,0.210309091722593,13,64,14,49,1,0,15,34,4,1,3,354,341,341,22,134,207,345,-0.523962571809534
IND,17,13,64,37,27,0,1,9,17,3,2,1,437,164,164,273,117,47,167,4.78440303152916,12,65,17,42,6,0,16,26,2,0,2,283,261,261,53,85,176,295,-16.8571501239203
JAC,1,9,47,23,20,4,0,1,19,3,0,3,241,173,173,91,98,75,89,6.15406756103829,9,69,22,46,1,2,8,36,2,1,1,445,363,363,88,212,151,289,1.77861682832262
JAC,2,9,74,27,45,2,2,13,30,4,1,3,480,339,339,165,96,243,393,18.8272862356315,10,59,34,24,1,0,6,18,4,0,4,354,239,239,123,89,150,191,13.7949375807395
JAC,3,10,63,17,42,4,1,11,30,2,2,0,318,275,275,72,161,114,313,-10.0294935613929,10,57,36,20,1,0,2,18,4,2,2,294,160,160,138,46,114,144,9.9681332360783
JAC,4,10,62,20,40,3,1,12,27,2,0,2,429,351,351,89,146,205,304,10.122805100699,11,71,34,36,1,1,10,25,3,2,1,505,300,300,205,130,170,370,16.2997049600506
JAC,5,10,73,20,49,4,0,18,31,2,0,2,364,301,301,75,158,143,295,-3.81160100136015,10,58,22,35,1,2,8,25,3,0,3,486,359,359,129,136,223,366,11.6454923381779
JAC,6,11,61,16,44,1,1,18,25,2,1,1,275,243,243,44,112,131,417,-6.81394628241002,11,70,39,31,0,1,11,19,4,3,1,403,223,223,180,94,129,269,8.312749754649
JAC,7,11,59,27,27,5,0,13,14,3,1,2,294,173,173,140,68,105,252,-5.84420060837874,14,77,32,44,1,0,16,28,5,2,3,484,351,351,135,199,152,383,11.3741473920416
JAC,9,12,67,27,38,2,1,11,26,3,2,1,403,304,304,115,135,169,323,1.52940363416473,12,62,28,32,2,0,13,19,3,1,2,374,281,281,107,194,87,291,4.4695526333952
JAC,10,11,61,23,35,3,1,16,18,1,0,1,260,169,169,109,92,77,207,-11.896236436854,13,60,25,34,1,1,9,24,3,1,2,395,325,325,80,237,88,212,-3.97802235167831
JAC,11,12,56,17,37,2,4,17,16,0,0,0,206,151,151,73,59,92,335,-24.6795051177683,13,73,27,46,0,1,13,32,3,1,2,373,267,267,106,111,156,372,2.4483844425567
JAC,12,9,59,25,35,0,0,15,20,3,1,2,375,235,235,140,117,118,354,11.0179490000311,9,64,33,29,2,0,10,19,3,1,2,459,258,258,207,117,141,235,12.7770977689933
JAC,13,14,68,25,42,2,2,12,28,2,1,1,390,280,280,124,92,188,351,-6.71149809743941,16,85,38,43,4,1,14,28,4,0,3,420,305,305,145,147,158,328,-9.89228524081699
JAC,14,11,69,15,54,0,1,22,31,1,0,1,354,263,263,91,129,134,455,-8.91819694672305,11,65,40,24,1,0,5,19,4,2,2,454,212,212,249,73,139,197,13.1596633393649
JAC,15,9,56,22,29,5,0,7,22,2,0,2,267,226,226,62,90,136,225,-1.78343417186989,10,64,37,26,1,1,6,19,5,2,3,409,250,250,159,97,153,254,18.2342217007629
JAC,16,11,54,16,37,1,2,11,24,2,0,2,279,211,211,76,69,142,239,-6.94320626011107,12,70,33,36,1,1,11,24,5,3,2,391,265,265,128,138,127,294,17.5151889273409
JAC,17,12,65,17,42,6,0,16,26,2,0,2,283,261,261,53,85,176,295,-16.8571501239203,13,64,37,27,0,1,9,17,3,2,1,437,164,164,273,117,47,167,4.78440303152916
KAN,1,9,67,34,32,1,0,8,24,4,1,3,369,211,211,166,133,78,147,14.3226077463646,9,58,22,32,4,1,11,20,3,2,1,360,253,253,118,132,121,283,9.78399233206762
KAN,2,10,70,22,47,1,0,20,27,2,0,2,414,302,302,125,116,186,339,7.33753040920926,10,78,44,33,2,1,10,22,2,1,1,479,311,311,183,185,126,283,3.08763541555811
KAN,3,10,73,31,42,0,0,11,31,5,1,4,517,385,385,132,178,207,346,23.5058193389957,10,53,21,28,4,0,13,15,1,0,1,228,97,97,158,32,65,260,-6.15219770387355
KAN,4,10,55,25,29,1,0,10,19,2,0,2,323,236,236,94,152,84,235,2.85534336928427,11,74,35,37,2,3,14,20,2,0,1,357,190,190,185,87,103,296,-15.606473790926
KAN,5,11,66,20,43,3,1,20,22,4,2,2,413,340,340,80,161,179,440,10.0159531583186,12,67,35,31,1,1,8,22,5,2,3,490,347,347,144,181,166,271,18.9194682611245
KAN,6,9,73,46,26,1,0,5,21,3,1,2,466,225,225,245,104,121,161,21.9535285896053,9,50,23,27,0,1,12,14,2,0,2,206,122,122,84,46,76,272,-1.36880485598494
KAN,7,11,51,22,25,4,0,8,17,3,2,1,286,213,213,101,131,82,166,3.06260576954548,13,76,33,40,3,2,14,24,3,2,0,411,254,254,177,164,90,265,-19.188788512628
KAN,8,10,67,20,47,0,0,12,35,5,0,5,496,446,446,50,213,233,403,19.8689796125982,11,55,25,30,1,0,12,18,0,0,0,221,133,133,93,74,59,193,-13.3308199959849
KAN,9,9,57,11,45,2,0,15,30,4,0,4,397,372,372,36,137,235,407,14.35138376391,9,75,24,50,2,0,13,37,4,2,2,435,338,335,104,196,139,280,24.1248737230963
KAN,11,9,73,27,46,0,1,10,35,5,3,2,460,352,352,108,138,214,349,23.7988063131925,9,57,26,31,0,1,7,23,4,1,3,364,275,275,89,155,120,237,13.4970772654496
KAN,12,11,72,20,50,2,0,13,37,3,0,3,543,462,462,87,156,306,486,17.504607604342,11,55,13,41,1,2,12,27,3,0,3,417,345,345,75,141,204,392,8.00276279963203
KAN,13,10,63,22,40,1,0,15,25,1,0,1,447,318,318,134,152,166,378,9.50224723988278,9,61,33,28,0,2,11,15,2,0,2,330,151,151,179,74,77,234,6.59883280458065
KAN,14,13,61,24,34,3,3,7,24,3,1,2,448,393,393,94,205,188,318,0.527606920679674,14,76,24,49,4,1,20,28,3,1,2,367,316,316,80,110,206,466,-0.663622239702194
KAN,15,13,92,41,47,4,0,21,26,4,1,3,411,254,254,179,128,126,422,1.99071089524393,13,52,17,34,1,1,18,15,4,1,3,285,234,234,60,139,95,272,-6.1176975913113
KAN,16,10,66,21,45,0,2,19,24,2,0,2,395,278,278,117,170,108,352,0.831470134288203,10,62,23,35,4,0,8,27,2,0,2,367,300,300,90,145,155,233,3.44780511220495
KAN,17,8,50,17,32,1,0,9,23,3,1,2,268,218,218,51,181,37,147,8.31347042019479,9,69,35,31,3,0,9,22,5,2,3,416,302,302,135,173,129,243,16.3901911331632
LAC,1,13,71,39,30,2,0,14,16,1,1,0,362,208,208,155,80,128,335,-6.21882854469013,12,66,28,36,3,1,12,23,1,1,0,295,193,193,122,83,110,291,-14.8252344065013
LAC,2,10,78,44,33,2,1,10,22,2,1,1,479,311,311,183,185,126,283,3.08763541555811,10,70,22,47,1,0,20,27,2,0,2,414,302,302,125,116,186,339,7.33753040920926
LAC,3,10,73,23,49,2,1,13,35,2,1,1,436,330,330,117,186,144,296,-7.92579008451441,10,51,21,28,2,0,6,22,1,0,1,302,235,235,81,136,99,138,-5.15475204939761
LAC,4,11,50,23,25,2,1,4,20,3,0,3,324,290,290,46,161,129,193,5.87063287713512,12,73,27,46,0,1,15,30,6,0,5,484,369,369,115,109,260,431,11.016513840862
LAC,5,14,68,32,33,3,0,14,19,4,0,4,345,259,259,111,98,161,379,0.679783244683818,13,75,25,48,2,1,14,33,3,2,1,408,325,325,95,100,225,327,-2.98069205617314
LAC,7,14,77,32,44,1,0,16,28,5,2,3,484,351,351,135,199,152,383,11.3741473920416,11,59,27,27,5,0,13,14,3,1,2,294,173,173,140,68,105,252,-5.84420060837874
LAC,8,12,84,38,44,2,2,13,29,3,0,3,485,278,278,210,140,138,296,3.05636433762866,13,58,16,41,2,1,14,26,4,1,3,351,248,248,108,115,133,308,4.44106955456824
LAC,9,9,74,31,42,2,0,14,28,3,1,2,440,326,326,128,131,195,309,9.81290638420853,10,50,26,23,1,0,10,13,4,2,2,320,165,165,160,56,109,281,8.99997957664822
LAC,10,11,63,29,32,2,1,11,20,3,1,2,273,187,187,99,132,55,229,-2.35125801002141,11,57,32,25,0,0,10,15,3,1,2,280,169,169,111,44,125,266,-2.63790816646929
LAC,11,10,78,26,49,3,0,12,37,3,0,3,376,366,366,29,170,196,328,3.29228516614839,10,55,24,30,1,1,14,15,5,2,2,292,205,205,96,44,161,384,-2.29754061199492
LAC,12,12,79,24,52,3,1,20,31,2,1,1,367,316,316,76,150,166,312,-6.33759760938589,12,58,30,25,3,1,5,19,3,1,2,332,177,177,172,74,103,106,-2.09553770141927
LAC,13,11,70,15,53,3,2,25,26,0,0,0,258,209,209,70,129,80,324,-26.3004576223477,10,66,43,22,1,0,8,14,4,2,2,291,130,130,165,76,54,154,1.68696541304988
LAC,14,9,71,26,44,1,1,7,36,2,0,2,345,243,243,105,145,98,241,3.63537556851873,8,55,20,33,2,3,8,22,2,0,2,319,263,263,70,111,152,327,0.34413482779796
LAC,15,9,62,29,32,1,0,10,22,4,2,2,402,314,314,96,91,223,359,15.3822413090638,10,74,41,33,1,1,12,20,3,2,1,449,279,279,173,103,176,310,8.99587728217695
LAC,16,10,55,20,33,2,0,12,21,1,0,1,316,253,253,89,129,124,208,-1.18470632506939,10,76,28,47,2,2,21,24,1,1,0,396,264,264,133,96,168,541,1.47461296630612
LAC,17,9,69,35,31,3,0,9,22,5,2,3,416,302,302,135,173,129,243,16.3901911331632,8,50,17,32,1,0,9,23,3,1,2,268,218,218,51,181,37,147,8.31347042019479
LAR,1,11,72,40,31,1,1,10,20,2,2,0,422,275,275,153,195,80,140,1.6936029748686,10,69,27,39,3,0,14,25,2,1,1,380,266,266,136,114,152,283,-1.36874030933904
LAR,2,10,67,39,27,1,0,7,20,5,2,3,449,267,267,191,109,158,221,25.7395186623969,10,69,26,43,0,2,15,26,2,2,0,363,242,242,121,111,131,281,-5.53622275509683
LAR,3,10,66,32,32,2,1,8,23,4,2,2,478,321,321,167,154,167,185,21.187336491602,9,58,21,33,4,1,8,24,5,1,4,375,311,311,101,140,171,307,11.3121776638145
LAR,4,10,57,23,32,2,0,7,25,2,1,1,240,200,200,58,118,82,196,-5.41706267596196,10,66,25,36,5,1,12,23,0,0,0,295,190,190,136,118,72,209,-11.6070724516497
LAR,5,13,66,35,30,1,1,8,21,4,2,2,429,309,309,129,192,117,188,6.75200297429064,13,52,14,30,8,0,12,18,1,1,0,108,111,111,38,102,9,139,-22.8925733925368
LAR,6,10,57,19,38,0,1,18,19,2,0,2,311,198,194,113,51,143,455,1.06432640062545,11,70,37,33,0,0,10,23,3,0,3,390,268,268,122,223,45,145,7.76758744766241
LAR,7,13,68,34,33,1,0,10,23,4,1,2,371,220,220,160,120,100,268,-8.73730432680353,11,61,17,40,4,2,10,28,0,0,0,279,261,261,49,112,149,449,-23.4928909575129
