posteam,week,nodrives,noplays,noruns,nopass,sack,interception,incomplete_pass,complete_pass,notds,touchdown_rush,touchdown_pass,yards_gained,yards_passing,yards_receiving,yards_rushing,yards_after_catch,air_yards2,air_yards,epa,def_nodrives,def_noplays,def_noruns,def_nopass,def_sack,def_interception,def_incomplete_pass,def_complete_pass,def_notds,def_touchdown_rush,def_touchdown_pass,def_yards_gained,def_yards_passing,def_yards_receiving,def_yards_rushing,def_yards_after_catch,def_air_yards2,def_air_yards,def_epa
ATL,17,9,71,26,44,1,0,15,29,3,1,2,385,265,265,127,125,140,227,4.7491003328495,10,63,22,41,1,1,14,26,5,1,4,485,399,399,94,184,215,447,21.1962031630622
BAL,1,11,58,30,26,2,0,5,21,5,2,3,381,284,284,111,77,207,257,11.6342701098362,11,68,27,39,2,1,17,21,1,0,1,306,189,189,138,34,155,358,-16.4293415714336
BAL,2,9,65,37,24,4,0,6,18,2,1,1,407,204,204,230,103,101,190,10.3126675429742,10,56,17,36,4,1,10,25,2,0,1,304,275,275,51,112,163,283,-11.2367893349799
BAL,3,10,53,21,28,4,0,13,15,1,0,1,228,97,97,158,32,65,260,-6.15219770387355,10,73,31,42,0,0,11,31,5,1,4,517,385,385,132,178,207,346,23.5058193389957
BAL,4,11,56,32,23,1,2,6,15,4,2,2,350,208,208,144,54,154,363,12.461636781829,11,70,22,45,3,0,13,32,2,2,0,343,314,314,69,204,110,200,-2.15608582458966
BAL,5,12,62,24,37,1,1,17,19,2,0,2,332,180,180,161,84,96,318,-4.22934487440005,12,65,28,30,7,1,10,19,1,0,0,205,183,183,70,85,98,220,-32.2882112270578
BAL,6,14,67,37,27,3,0,11,16,3,2,1,355,186,186,182,88,98,186,2.10263889008465,14,64,18,40,6,0,19,21,4,1,2,364,213,213,194,61,152,369,-6.88884823169792
BAL,8,12,78,47,28,4,2,13,13,4,1,2,457,208,208,265,77,131,232,-5.87132205742904,10,50,16,32,2,0,11,21,3,1,2,221,182,182,48,93,89,232,-0.773356106539723
BAL,9,10,63,38,23,2,0,4,19,2,2,0,266,170,170,110,104,66,86,-0.0194618788922933,12,63,21,44,0,1,18,25,2,1,0,339,227,227,112,169,58,270,-23.4127073568937
BAL,10,9,64,28,34,2,1,9,24,2,0,2,357,249,249,115,145,104,259,3.02975739122539,10,59,39,18,1,0,4,14,3,1,2,308,142,142,173,66,76,106,8.80688498482553
BAL,11,10,63,33,29,1,1,11,17,2,1,1,306,186,186,129,104,82,288,6.27265890960525,10,68,34,32,2,1,8,23,3,1,2,423,266,266,173,139,127,200,9.98343815808565
BAL,12,12,49,28,18,3,1,8,9,3,1,1,219,110,110,129,83,27,136,-18.6349222430727,10,71,20,51,0,1,14,36,1,0,1,334,266,266,68,135,131,241,-8.41456581584378
BAL,13,9,54,37,17,0,1,4,12,4,2,2,401,107,107,294,51,56,94,14.6716591329669,10,77,28,48,1,1,16,31,2,0,2,388,285,285,111,124,161,453,2.44450128790339
BAL,14,11,56,32,21,4,0,9,12,6,5,1,385,176,176,231,62,114,226,21.2890624094969,12,76,28,48,0,1,18,29,6,4,2,493,355,355,138,142,213,446,17.9750477823687
BAL,15,10,64,37,26,1,1,6,19,5,2,3,409,250,250,159,97,153,254,18.2342217007629,9,56,22,29,5,0,7,22,2,0,2,267,226,226,62,90,136,225,-1.78343417186989
BAL,16,9,65,40,26,0,0,9,17,3,1,2,432,183,183,249,66,117,181,15.2976411251545,8,59,12,41,6,0,17,24,1,0,1,269,252,252,54,108,144,386,-3.17383364524508
BAL,17,11,73,54,19,0,1,7,11,5,2,3,525,121,121,404,45,76,191,25.4826739748015,11,40,19,21,0,2,13,6,0,0,0,195,48,48,147,33,15,155,-23.3739362067729
BUF,1,11,81,32,46,3,0,13,33,3,1,2,404,312,312,98,137,175,279,0.67607813361907,11,51,15,35,3,1,13,21,2,1,1,254,215,215,52,139,76,257,-8.44052137347792
BUF,2,11,59,23,35,1,0,11,24,4,0,4,523,415,415,112,154,261,362,21.034442621141,11,71,22,47,3,0,16,31,3,1,2,410,328,328,99,121,207,313,10.2740004207938
BUF,3,9,58,21,33,4,1,8,24,5,1,4,375,311,311,101,140,171,307,11.3121776638145,10,66,32,32,2,1,8,23,4,2,2,478,321,321,167,154,167,185,21.187336491602
BUF,4,10,59,24,34,1,0,10,24,4,2,2,337,288,288,63,77,211,229,13.5090845696318,9,68,23,44,2,0,12,32,2,0,2,383,311,311,86,138,173,267,-1.90678613588798
BUF,5,9,69,22,46,1,2,15,29,2,0,2,370,285,285,95,69,216,406,2.38562963777101,9,62,34,28,0,0,7,21,6,3,3,334,195,195,139,69,126,181,17.8071033797751
BUF,6,9,50,23,27,0,1,12,14,2,0,2,206,122,122,84,46,76,272,-1.36880485598494,9,73,46,26,1,0,5,21,3,1,2,466,225,225,245,104,121,161,21.9535285896053
BUF,7,10,72,27,43,2,0,13,30,0,0,0,422,307,307,126,172,135,308,5.3040840992894,9,51,22,23,6,2,9,12,1,1,0,191,120,120,100,39,81,149,-13.1928910551042
BUF,8,10,57,38,18,1,1,6,11,3,3,0,339,154,154,190,83,71,179,9.09390370224121,9,61,34,25,2,0,10,15,2,2,0,349,174,174,188,92,82,143,5.00743375936074
BUF,9,12,64,19,38,7,0,7,31,5,2,3,420,415,415,34,194,221,341,13.9748913058027,11,63,17,41,5,2,11,28,4,2,2,419,390,390,57,145,245,380,1.52571487860389
BUF,10,12,68,18,50,0,2,15,33,3,0,3,369,296,296,73,166,130,343,-0.638096234348548,12,70,35,32,3,1,9,22,3,2,1,453,245,245,217,96,149,231,4.85331186835736
BUF,12,12,58,30,25,3,1,5,19,3,1,2,332,177,177,172,74,103,106,-2.09553770141927,12,79,24,52,3,1,20,31,2,1,1,367,316,316,76,150,166,312,-6.33759760938589
BUF,13,10,68,27,40,1,0,8,32,4,0,4,449,375,375,81,129,246,294,10.8098971713787,9,60,21,39,0,2,11,26,3,0,3,402,316,316,86,133,183,266,2.03867987079536
BUF,14,12,71,27,43,1,1,18,24,2,0,2,334,238,238,104,130,108,455,-10.003859447597,13,55,17,37,1,2,14,21,3,0,2,224,187,187,47,116,71,242,-17.1121234553866
BUF,15,9,65,24,40,1,0,12,28,5,3,2,534,359,359,182,118,241,404,32.3969229403071,12,63,28,32,3,0,12,20,4,2,1,255,132,132,140,64,68,125,-8.33475512692091
BUF,16,10,71,31,40,0,0,10,30,5,1,4,474,344,344,130,142,202,397,26.7264634260957,9,48,24,21,3,0,12,9,1,1,0,201,78,78,145,46,32,176,-7.4010582546898
BUF,17,14,64,25,38,1,2,12,24,6,2,4,455,388,388,78,115,273,451,13.6324918193277,15,80,20,59,1,3,20,36,4,2,1,454,393,393,70,215,178,440,-12.6250911843605
CAR,1,10,65,30,34,1,0,12,22,3,2,1,388,269,269,129,137,132,279,6.96198653367498,9,61,31,30,0,0,8,22,4,3,1,372,239,239,133,158,81,166,15.0756779395264
CAR,2,12,71,24,42,5,2,7,33,2,2,0,427,367,367,87,149,218,309,-10.2921183104645,11,57,22,35,0,1,11,23,4,3,1,339,217,217,122,110,107,234,-1.12440805833993
CAR,3,10,51,21,28,2,0,6,22,1,0,1,302,235,235,81,136,99,138,-5.15475204939761,10,73,23,49,2,1,13,35,2,1,1,436,330,330,117,186,144,296,-7.92579008451441
CAR,4,10,72,35,37,0,1,10,26,4,2,2,444,276,276,168,173,103,228,18.0317328050461,9,55,23,31,1,0,7,24,3,0,3,262,133,133,129,63,70,213,4.37652384959802
CAR,5,9,63,27,36,0,0,9,27,2,0,2,437,313,313,124,178,135,218,15.1642438133685,9,62,24,37,2,1,15,21,1,1,0,373,226,226,166,84,142,284,3.41961447897212
CAR,6,10,62,29,29,4,2,11,16,1,1,0,303,216,216,112,75,141,260,-17.4686546275242,11,63,25,39,0,1,15,23,2,1,1,261,198,198,63,88,110,240,-2.59628762059144
CAR,7,6,43,14,28,1,0,5,23,3,1,2,283,254,254,37,158,96,186,12.7855251687071,7,66,29,37,1,0,7,30,3,1,2,415,287,287,138,138,149,177,13.91244009557
CAR,8,8,52,22,27,3,1,10,16,2,1,1,304,179,176,147,72,104,221,-2.61239606141569,9,68,36,30,2,1,8,21,2,2,0,401,281,281,131,90,191,258,13.4383042657528
CAR,9,9,75,24,50,2,0,13,37,4,2,2,435,338,335,104,196,139,280,24.1248737230963,9,57,11,45,2,0,15,30,4,0,4,397,372,372,36,137,235,407,14.35138376391
CAR,10,11,47,16,28,3,1,7,20,3,1,2,187,148,148,65,79,69,195,-10.4362221576585,11,77,37,39,1,0,11,28,5,2,3,544,341,341,210,168,173,324,27.4323902477256
CAR,11,11,70,34,35,1,2,9,24,2,1,1,374,258,258,116,123,135,235,-4.94435323543156,11,55,17,33,5,0,15,18,0,0,0,185,178,178,40,93,85,192,-20.4718651259389
CAR,12,9,63,28,36,0,1,16,19,1,0,1,374,267,267,107,135,132,303,2.42791393507046,11,70,24,45,2,0,11,34,5,0,3,387,307,307,96,78,229,366,-1.50042588841385
CAR,14,11,65,21,40,4,0,10,30,3,3,0,370,283,283,125,161,122,236,3.80896005995019,10,58,30,27,1,0,6,21,4,0,4,365,280,280,96,156,124,170,7.10275616045692
CAR,15,10,65,27,35,3,0,14,21,1,1,0,364,258,258,115,141,117,238,-1.28228762722469,11,61,27,29,5,0,9,20,3,2,1,291,143,143,195,106,37,123,2.78450183572878
CAR,16,12,67,35,28,4,1,8,19,2,1,1,280,197,197,113,66,131,290,-7.04583863657899,11,69,19,47,3,2,19,26,1,0,1,386,291,291,108,170,121,490,-9.48764215855604
CAR,17,11,60,20,37,3,5,14,18,1,1,0,320,271,271,74,46,225,502,-24.1238312530331,12,64,30,32,2,0,10,22,4,1,3,347,201,201,156,83,118,201,10.3278028888712
CHI,1,12,65,28,36,1,0,16,20,3,0,3,363,242,242,149,81,161,349,7.23818732849844,12,71,29,42,1,1,17,24,2,1,1,426,297,297,138,129,168,372,-1.00213374802836
CHI,2,9,64,32,28,4,2,8,18,2,0,2,304,190,190,135,71,119,239,-0.980402828860594,10,60,18,40,4,1,14,25,1,1,0,295,241,241,75,80,161,254,-6.41303406286804
CHI,3,14,78,25,51,2,2,20,29,4,0,4,437,316,316,130,152,164,532,0.728651744259112,14,65,25,38,2,1,18,19,3,2,1,371,238,238,144,77,161,423,-1.92261168706201
CHI,4,11,59,16,42,1,1,15,26,1,0,1,269,249,249,28,71,178,373,-9.93788058316699,11,68,38,29,1,0,13,16,1,0,1,289,190,190,103,73,117,230,-1.15236083738868
CHI,5,11,59,14,42,3,1,11,30,2,1,1,243,243,243,35,91,152,333,-8.95771112273665,11,64,20,41,3,0,16,25,1,0,1,339,253,253,106,100,153,383,-0.831128057525932
CHI,6,11,63,25,39,0,1,15,23,2,1,1,261,198,198,63,88,110,240,-2.59628762059144,10,62,29,29,4,2,11,16,1,1,0,303,216,216,112,75,141,260,-17.4686546275242
CHI,7,11,61,17,40,4,2,10,28,0,0,0,279,261,261,49,112,149,449,-23.4928909575129,13,68,34,33,1,0,10,23,4,1,2,371,220,220,160,120,100,268,-8.73730432680353
CHI,8,11,69,23,41,5,1,12,28,2,0,2,329,272,272,96,64,208,326,-5.55754180285621,13,72,30,41,1,0,10,31,2,0,2,394,280,280,122,169,111,190,4.62922000057764
