week,posteam,nopass,noplays,touchdown,yards_gained,yards_passing,interception,sack,qb_hits,incomplete_pass,complete_pass,yards_receiving,touchdown_pass,yards_after_catch,air_yards,air_yards2,epa
2,TAM,35,35,1,217,217,1,0,1,11,23,217,1,110,234,107,0.524379743148724
2,TEN,24,24,4,239,239,0,0,3,6,18,239,4,89,191,150,20.8606345658511
2,WAS,33,33,1,223,223,0,0,5,14,19,223,1,134,283,89,3.63159407620296
3,ARI,33,33,2,270,270,3,0,1,7,23,270,2,119,314,151,-1.62094591511413
3,ATL,38,38,1,238,238,1,0,5,18,19,238,1,77,423,161,-3.79441962483087
3,BAL,27,27,1,97,97,0,0,0,12,15,97,1,32,252,65,-5.66346041856175
3,BUF,32,32,4,311,311,1,0,3,7,24,311,4,140,312,171,18.8021075778524
3,CAR,27,27,1,235,235,0,0,0,5,22,235,1,136,136,99,8.78961905637347
3,CHI,49,49,4,316,316,2,0,6,18,29,316,4,152,525,164,4.41055994478316
3,CIN,42,42,2,312,312,0,0,7,11,31,312,2,123,373,189,16.8670426699175
3,CLE,22,22,2,156,156,0,0,1,6,16,156,2,66,189,90,14.2266831614243
3,DAL,56,56,3,472,472,1,0,8,18,37,472,3,186,432,286,18.5779419754186
3,DEN,38,38,1,229,229,2,0,4,11,25,229,1,92,257,137,-5.43534339896884
3,DET,31,31,2,270,270,0,0,2,9,22,270,2,151,220,119,12.0946949565585
3,GNB,30,30,3,283,283,0,0,1,9,21,283,3,151,288,132,15.0191828527076
3,HOU,27,27,2,264,264,1,0,6,7,19,264,2,82,285,182,14.0709636077227
3,IND,25,25,1,234,234,0,0,1,6,19,234,1,119,143,115,9.53077294398117
3,JAC,42,42,0,275,275,1,0,5,11,30,275,0,161,313,114,2.98895591165638
3,KAN,41,41,4,385,385,0,0,4,10,31,385,4,178,342,207,32.141858290164
3,LAC,48,48,1,330,330,1,0,6,12,35,330,1,186,296,144,7.75893892063749
3,LAR,31,31,2,321,321,1,0,4,7,23,321,2,154,191,167,15.4103494236188
3,LVR,32,32,2,261,261,0,0,4,8,24,261,2,115,247,146,10.2642815149498
3,MIA,20,20,2,160,160,0,0,4,2,18,160,2,46,144,114,9.87266445439309
3,MIN,25,25,3,251,251,2,0,7,7,16,251,3,121,225,130,9.06470366774544
3,NOR,35,35,3,288,288,0,0,0,6,29,288,3,163,152,125,13.8751410035438
3,NWE,28,28,1,162,162,1,0,2,10,17,162,1,126,129,36,-1.75819948111154
3,NYG,31,31,0,179,179,1,0,3,13,17,179,0,39,272,140,-3.78012130986425
3,NYJ,26,26,3,168,168,3,0,2,6,17,168,1,122,171,46,-16.934615315753
3,PHI,44,44,1,225,225,2,0,0,13,29,225,1,104,323,121,-1.50205181544204
3,PIT,35,35,2,237,237,0,0,2,12,23,237,2,140,322,97,15.0635080576672
3,SEA,38,38,5,315,315,0,0,3,11,27,315,5,74,371,241,12.8477471517399
3,SFO,35,35,1,343,343,0,0,7,10,25,343,1,141,277,202,28.4399405791308
3,TAM,36,36,3,297,297,0,0,3,11,25,297,3,111,313,186,15.2844871399293
3,TEN,33,33,0,321,321,1,0,2,9,23,321,0,88,361,233,5.3025087842256
3,WAS,36,36,2,224,224,3,0,0,12,21,224,2,145,244,79,3.6337292738026
4,ARI,31,31,3,133,133,0,0,3,7,24,133,3,63,213,70,5.14859594561858
4,ATL,39,39,0,285,285,0,0,3,11,28,285,0,111,369,174,7.2406241134222
4,BAL,23,23,2,208,208,2,0,2,6,15,208,2,54,363,154,12.9814954474187
4,BUF,32,32,2,288,288,0,0,4,8,24,288,2,77,209,211,22.8536912547347
4,CAR,36,36,2,276,276,1,0,3,9,26,276,2,173,233,103,13.0769886290965
4,CHI,42,42,1,249,249,1,0,4,15,26,249,1,71,373,178,-3.11282529862496
4,CIN,35,35,1,300,300,1,0,3,9,25,300,1,130,370,170,10.1296790216802
4,CLE,26,26,3,202,202,0,0,1,6,20,202,3,44,259,158,16.4291017019232
4,DAL,58,58,4,502,502,1,0,0,16,41,502,4,235,511,267,20.5509059430333
4,DEN,28,28,3,242,242,3,0,5,6,19,242,2,60,272,182,3.65793016912025
4,DET,30,30,3,206,206,1,0,3,12,17,206,3,75,330,131,6.96580761380028
4,GNB,33,33,4,327,327,0,0,0,6,27,327,4,173,285,154,27.7496198833505
4,HOU,31,31,2,300,300,0,0,1,11,20,300,2,102,285,198,12.5833466162367
4,IND,28,28,1,190,190,0,0,2,12,16,190,1,73,233,117,7.45823349423352
4,JAC,36,36,2,351,351,1,0,1,8,27,351,2,146,285,205,18.8679855712911
4,KAN,29,29,2,236,236,0,0,0,10,19,236,2,152,235,84,4.21851547970379
4,LAC,25,25,3,290,290,1,0,4,4,20,290,3,161,193,129,17.1964940162999
4,LAR,32,32,1,200,200,0,0,3,7,25,200,1,118,196,82,-1.64637496127721
4,LVR,43,43,2,311,311,0,0,2,11,32,311,2,138,267,173,13.8450074880806
4,MIA,45,45,0,315,315,2,0,4,14,29,315,0,139,341,176,3.28890576211986
4,MIN,21,21,1,260,260,0,0,5,5,16,260,1,94,279,166,15.5283205883383
4,NOR,25,25,2,246,246,1,0,4,5,19,246,2,90,233,156,14.57906087843
4,NWE,35,35,2,190,190,3,0,3,12,20,190,1,87,276,103,-10.5136579941686
4,NYG,36,36,0,190,190,1,0,3,12,23,190,0,118,209,72,-4.88939170810349
4,NYJ,43,43,0,246,246,0,0,3,18,25,246,0,68,428,178,-0.543722091035597
4,PHI,26,26,1,193,193,1,0,4,7,18,193,1,111,152,82,3.4632767157843
4,SEA,33,33,2,360,360,1,0,3,8,24,360,2,168,300,192,16.7264193986625
4,SFO,41,41,2,338,338,2,0,7,7,32,338,1,168,224,170,4.31542395966244
4,TAM,45,45,6,369,369,1,0,6,14,30,369,5,109,427,260,13.4896884201289
4,WAS,44,44,0,314,314,0,0,5,12,32,314,0,204,200,110,1.28104524317739
5,ARI,35,35,1,380,380,1,0,0,7,27,380,1,152,317,228,17.0530148541135
5,ATL,35,35,0,226,226,1,0,3,13,21,226,0,84,286,142,0.745904788073809
5,BAL,36,36,2,180,180,1,0,4,16,19,180,2,84,311,96,-3.55754085450979
5,BUF,45,45,2,285,285,2,0,2,14,29,285,2,69,383,216,1.5412044819316
5,CAR,34,34,2,313,313,0,0,3,7,27,313,2,178,215,135,18.2199248135354
5,CHI,42,42,1,243,243,1,0,4,11,30,243,1,91,333,152,0.911204699649396
5,CIN,29,29,1,183,183,1,0,7,9,19,183,0,85,205,98,-8.29990389675368
5,CLE,38,38,2,265,265,2,0,2,14,22,265,2,81,340,184,5.14468827161691
5,DAL,33,33,2,288,288,1,0,2,8,24,288,1,103,237,185,6.90488240669803
5,HOU,35,35,3,359,359,2,0,4,8,25,359,3,136,366,223,12.1150563713844
5,IND,32,32,1,243,243,2,0,3,9,21,243,0,101,252,142,-4.14771008118798
5,JAC,44,44,2,301,301,0,0,2,13,31,301,2,158,289,143,10.9667841767094
5,KAN,42,42,2,340,340,1,0,2,19,22,340,2,161,417,179,14.2263190739023
5,LAC,31,31,4,259,259,0,0,7,12,19,259,4,98,379,161,12.5393156431383
5,LAR,29,29,2,309,309,1,0,0,7,21,309,2,192,183,117,14.4928215365678
5,LVR,31,31,3,347,347,1,0,3,8,22,347,3,181,271,166,17.6814556326694
5,MIA,27,27,3,350,350,0,0,3,5,22,350,3,141,257,209,25.8366126832186
5,MIN,38,38,2,249,249,1,0,3,10,27,249,2,96,266,153,16.6519981869779
5,NOR,47,47,1,325,325,1,0,5,13,33,325,1,100,327,225,3.03615518374779
5,NYG,29,29,0,222,222,0,0,5,9,20,222,0,111,193,111,11.671015185685
5,NYJ,31,31,1,195,195,0,0,2,13,18,195,1,95,309,100,1.28136055833989
5,PHI,36,36,2,276,276,2,0,5,13,21,276,2,63,474,213,11.3056737325268
5,PIT,34,34,3,239,239,0,0,1,7,27,239,3,138,196,101,14.9769211029297
5,SEA,30,30,3,217,217,1,0,3,9,20,217,3,74,343,143,8.05232629377861
5,SFO,35,35,1,171,171,2,0,4,17,16,171,1,93,316,78,-9.81961143176922
5,TAM,41,41,1,253,253,0,0,5,16,25,253,1,100,383,153,2.11927081240297
5,TEN,28,28,3,195,195,0,0,2,7,21,195,3,69,181,126,13.888818386069
5,WAS,28,28,0,111,111,0,0,1,10,18,111,0,102,121,9,-10.5942543776998
6,ARI,22,22,2,188,188,0,0,0,13,9,188,2,117,230,71,5.83559501658374
6,ATL,37,37,4,371,371,0,0,2,7,30,371,4,171,253,200,35.6315084323555
6,BAL,25,25,1,186,186,0,0,1,9,16,186,1,88,165,98,9.03742424878323
6,BUF,25,25,2,122,122,1,0,5,10,14,122,2,46,254,76,-2.03644354753459
6,CAR,27,27,0,216,216,2,0,1,9,16,216,0,75,246,141,-2.08059776039496
6,CHI,36,36,1,198,198,1,0,7,12,23,198,1,88,205,110,2.46746293648614
6,CIN,39,39,0,313,313,1,0,3,13,25,313,0,130,344,183,17.5871378239343
6,CLE,26,26,2,165,165,2,0,2,9,15,165,1,86,142,79,-10.9390507001081
6,DAL,52,52,1,266,266,2,0,4,16,34,266,1,153,301,113,-3.28193333333305
6,DEN,24,24,0,189,189,2,0,2,12,10,189,0,50,391,139,-1.57304421512319
6,DET,31,31,1,223,223,1,0,4,11,19,223,1,94,269,129,4.1488750210962
6,GNB,31,31,1,160,160,2,0,5,13,16,160,0,81,298,79,-6.77525674687894
6,HOU,37,37,4,335,335,0,0,3,9,28,335,4,112,334,223,24.4422316481941
6,IND,42,42,3,371,371,1,0,2,12,29,371,3,174,343,197,15.9505521353371
6,JAC,44,44,1,243,243,1,0,4,18,25,243,1,112,417,131,-2.69995868558805
6,KAN,26,26,2,225,225,0,0,3,5,21,225,2,104,161,121,15.3622795837582
6,LAR,37,37,2,198,198,1,0,1,17,19,194,2,51,455,143,-2.81654444268074
6,MIA,29,29,3,200,200,2,0,1,7,20,200,3,115,220,85,-1.55902126627318
6,MIN,35,35,3,343,343,3,0,7,8,24,343,3,137,332,206,1.64158425232745
6,NWE,27,27,0,195,195,2,0,4,6,19,195,0,136,147,59,-9.51664934053279
6,NYG,18,18,1,112,112,1,0,3,5,12,112,1,38,125,74,2.23806315159891
6,NYJ,39,39,0,186,186,1,0,4,17,21,186,0,98,369,88,-4.20336266991217
6,PHI,39,39,2,213,213,0,0,11,18,21,213,2,61,364,152,3.53174077335279
6,PIT,23,23,1,168,168,0,0,0,8,15,168,1,71,172,97,3.48190249008796
6,SFO,32,32,3,268,268,0,0,3,9,23,268,3,223,145,45,13.4938894834777
6,TAM,27,27,2,166,166,0,0,4,10,17,166,2,72,231,94,6.86201349428604
6,TEN,41,41,4,366,366,1,0,4,10,30,366,4,158,309,208,23.8535919279997
6,WAS,40,40,2,280,280,1,0,6,8,31,280,2,149,231,131,13.1938676350598
7,ARI,44,44,3,360,360,1,0,0,9,34,360,3,175,387,185,7.30624729969261
7,ATL,40,40,1,338,338,0,0,4,9,31,338,1,103,283,235,18.2948227950837
7,BUF,41,41,0,307,307,0,0,1,11,30,307,0,172,275,135,13.495395805614
7,CAR,27,27,2,254,254,0,0,1,4,23,254,2,158,186,96,17.6989969593124
7,CHI,38,38,0,261,261,2,0,2,8,28,261,0,112,406,149,-9.10444935463886
7,CIN,47,47,3,422,422,1,0,3,10,36,422,3,219,384,203,28.4183469632308
7,CLE,28,28,5,316,316,1,0,6,4,23,316,5,114,286,202,23.2619861229773
7,DAL,21,21,0,114,114,1,0,1,9,11,114,0,52,160,62,-3.24711065681186
7,DEN,38,38,1,254,254,2,0,2,12,24,254,0,164,271,90,-13.7060905390763
7,DET,32,32,1,340,340,0,0,4,7,25,340,1,80,341,260,16.3119722521188
7,GNB,34,34,4,283,283,0,0,1,11,23,283,4,167,233,116,17.9923554424022
7,HOU,38,38,2,309,309,0,0,1,9,29,309,2,133,245,176,10.5411000626934
7,JAC,24,24,2,173,173,0,0,1,10,14,173,2,68,243,105,8.98916095128516
7,KAN,24,24,1,213,213,0,0,3,7,17,213,1,131,166,82,7.02109425932055
7,LAC,42,42,3,351,351,0,0,4,14,28,351,3,199,344,152,16.4828821504378
7,LAR,31,31,2,220,220,0,0,4,8,23,220,2,120,257,100,8.32432685876267
7,LVR,36,36,2,284,284,1,0,2,11,24,284,2,137,315,147,-0.111427826265392
7,NOR,35,35,2,287,287,0,0,2,5,30,287,2,138,177,149,21.141957919994
7,NWE,22,22,0,162,162,4,0,0,3,15,162,0,72,188,90,-9.98324620538139
7,NYG,28,28,2,187,187,1,0,4,7,20,187,2,97,162,90,4.16675084587769
